genus	BC_01_PL1_both	BC_01_PL2_both	BC_01_PL3_both	BC_02_PL1_both	BC_02_PL2_both	BC_02_PL3_both	BC_03_PL1_both	BC_03_PL2_both	BC_03_PL3_both	BC_04_PL1_both	BC_04_PL2_both	BC_04_PL3_both	BC_05_PL1_both	BC_05_PL2_both	BC_05_PL3_both	BC_06_PL1_both	BC_06_PL2_both	BC_06_PL3_both	BC_07_PL1_both	BC_07_PL2_both	BC_07_PL3_both	BC_08_PL1_both	BC_08_PL2_both	BC_08_PL3_both	BC_09_PL1_both	BC_09_PL2_both	BC_09_PL3_both	BC_10_PL1_both	BC_10_PL2_both	BC_10_PL3_both	BC_11_PL1_both	BC_11_PL2_both	BC_11_PL3_both	BC_12_PL1_both	BC_12_PL2_both	BC_12_PL3_both	BC_13_PL1_both	BC_13_PL2_both	BC_13_PL3_both	BC_14_PL1_both	BC_14_PL2_both	BC_14_PL3_both	BC_15_PL1_both	BC_15_PL2_both	BC_15_PL3_both	BC_16_PL1_both	BC_16_PL2_both	BC_16_PL3_both	BC_17_PL1_both	BC_17_PL2_both	BC_17_PL3_both	BC_18_PL1_both	BC_18_PL2_both	BC_18_PL3_both	BC_19_PL1_both	BC_19_PL2_both	BC_19_PL3_both	BC_20_PL1_both	BC_20_PL2_both	BC_20_PL3_both	BC_21_PL1_both	BC_21_PL2_both	BC_21_PL3_both	BC_22_PL1_both	BC_22_PL2_both	BC_22_PL3_both	BC_23_PL1_both	BC_23_PL2_both	BC_23_PL3_both	BC_24_PL1_both	BC_24_PL2_both	BC_24_PL3_both	BC_25_PL1_both	BC_25_PL2_both	BC_25_PL3_both	BC_26_PL1_both	BC_26_PL2_both	BC_26_PL3_both	BC_27_PL1_both	BC_27_PL2_both	BC_27_PL3_both	BC_28_PL1_both	BC_28_PL2_both	BC_28_PL3_both	BC_29_PL1_both	BC_29_PL2_both	BC_29_PL3_both	BC_30_PL1_both	BC_30_PL2_both	BC_30_PL3_both	BC_31_PL1_both	BC_31_PL2_both	BC_31_PL3_both	BC_32_PL1_both	BC_32_PL2_both	BC_32_PL3_both	BC_33_PL1_both	BC_33_PL2_both	BC_33_PL3_both	BC_34_PL1_both	BC_34_PL2_both	BC_34_PL3_both	BC_35_PL1_both	BC_35_PL2_both	BC_35_PL3_both	BC_36_PL1_both	BC_36_PL2_both	BC_36_PL3_both	BC_37_PL1_both	BC_37_PL2_both	BC_37_PL3_both	BC_38_PL1_both	BC_38_PL2_both	BC_38_PL3_both	BC_39_PL1_both	BC_39_PL2_both	BC_39_PL3_both	BC_40_PL1_both	BC_40_PL2_both	BC_40_PL3_both	BC_41_PL1_both	BC_41_PL2_both	BC_41_PL3_both	BC_42_PL1_both	BC_42_PL2_both	BC_42_PL3_both	BC_43_PL1_both	BC_43_PL2_both	BC_43_PL3_both	BC_44_PL1_both	BC_44_PL2_both	BC_44_PL3_both	BC_45_PL1_both	BC_45_PL2_both	BC_45_PL3_both	BC_46_PL1_both	BC_46_PL2_both	BC_46_PL3_both	BC_47_PL1_both	BC_47_PL2_both	BC_47_PL3_both	BC_48_PL1_both	BC_48_PL2_both	BC_48_PL3_both	BC_49_PL1_both	BC_49_PL2_both	BC_49_PL3_both	BC_50_PL1_both	BC_50_PL2_both	BC_50_PL3_both	BC_51_PL1_both	BC_51_PL2_both	BC_51_PL3_both	BC_52_PL1_both	BC_52_PL2_both	BC_52_PL3_both	BC_53_PL1_both	BC_53_PL2_both	BC_53_PL3_both	BC_54_PL1_both	BC_54_PL2_both	BC_54_PL3_both	BC_55_PL1_both	BC_55_PL2_both	BC_55_PL3_both	BC_56_PL1_both	BC_56_PL2_both	BC_56_PL3_both	BC_57_PL1_both	BC_57_PL2_both	BC_57_PL3_both	BC_58_PL1_both	BC_58_PL2_both	BC_58_PL3_both	BC_59_PL1_both	BC_59_PL2_both	BC_59_PL3_both	BC_60_PL1_both	BC_60_PL2_both	BC_60_PL3_both	BC_61_PL1_both	BC_61_PL2_both	BC_61_PL3_both	BC_62_PL1_both	BC_62_PL2_both	BC_62_PL3_both	BC_63_PL1_both	BC_63_PL2_both	BC_63_PL3_both	BC_64_PL1_both	BC_64_PL2_both	BC_64_PL3_both	BC_65_PL1_both	BC_65_PL2_both	BC_65_PL3_both	BC_66_PL1_both	BC_66_PL2_both	BC_66_PL3_both	BC_67_PL1_both	BC_67_PL2_both	BC_67_PL3_both	BC_68_PL1_both	BC_68_PL2_both	BC_68_PL3_both	BC_69_PL1_both	BC_69_PL2_both	BC_69_PL3_both	BC_70_PL1_both	BC_70_PL2_both	BC_70_PL3_both	BC_71_PL1_both	BC_71_PL2_both	BC_71_PL3_both	BC_72_PL1_both	BC_72_PL2_both	BC_72_PL3_both	BC_73_PL1_both	BC_73_PL2_both	BC_73_PL3_both	BC_74_PL1_both	BC_74_PL2_both	BC_74_PL3_both	BC_75_PL1_both	BC_75_PL2_both	BC_75_PL3_both	BC_76_PL1_both	BC_76_PL2_both	BC_76_PL3_both	BC_77_PL1_both	BC_77_PL2_both	BC_77_PL3_both	BC_78_PL1_both	BC_78_PL2_both	BC_78_PL3_both	BC_79_PL1_both	BC_79_PL2_both	BC_80_PL1_both	BC_80_PL2_both	BC_81_PL1_both	BC_81_PL2_both	BC_82_PL1_both	BC_82_PL2_both	BC_83_PL1_both	BC_83_PL2_both	BC_84_PL1_both	BC_84_PL2_both	BC_85_PL1_both	BC_85_PL2_both	BC_86_PL1_both	BC_86_PL2_both	BC_87_PL1_both	BC_87_PL2_both	BC_88_PL1_both	BC_88_PL2_both	BC_89_PL1_both	BC_89_PL2_both	BC_90_PL1_both	BC_90_PL2_both	BC_91_PL1_both	BC_91_PL2_both	BC_92_PL1_both	BC_92_PL2_both	BC_93_PL1_both	BC_93_PL2_both	BC_94_PL1_both	BC_94_PL2_both	BC_95_PL1_both	BC_95_PL2_both	BC_96_PL1_both	BC_96_PL2_both
Acetanaerobacterium																																																																																																																																																																																																																							0.0001940823695734																									0.000102536658647																														
Acetivibrio		0.0002854418399165		0.0004719644513251										0.0001283376917541						0.0002428126880912																													0.0002799137550749	0.0003275677433699																																																															0.0002696518163882						0.0001182820420027			0.000127653408891																					0.000160359256357																																																																																																	0.0001684646990014				0.0002286417271102												0.0002167872999585		0.0001237643381888												
Acholeplasma	0.0003460586700496			0.0002340906542062																																													0.0006021480092413																																																		0.0002795248078266																																																																					0.0007608362235496																																																			0.0004137238098052																																	0.000334833633002																		
Acidaminococcus	0.0008434256055373	0.0015544997106216	0.00027332840025	0.0008811006006848	0.0005682048956811	0.0002652475277091	0.0007927260423878	0.0011686817964565001		0.000508764845456	0.0012541694019091		0.0005632546535131	0.001380269252631	0.0002756005723213	0.0005186886788309	0.0011570979819881	0.0005136106831022	0.0009503290612391	0.0012241354719977	0.0002346419330965	0.001159666254831	0.0012651166726649	0.0002235335172208	0.0009971609816075	0.0013613300683659		0.0013609852774421	0.0014568484860744	0.0003915733423671	0.0011805410624554	0.0013189755306036		0.0009451795800476	0.0014758077527938		0.0005219978222765	0.0011223233564561	0.0004271109678879	0.0007853763125987	0.0010499734884948	0.0002659136180676	0.0010924646996797	0.0010691978647585	0.0002771714651972		0.0013962155671824		0.0011966555207731	0.0011785850947378		0.0008178564096154	0.001361489726634		0.0010243977020399	0.0013447979163627	0.0161535840578699	0.0006866931567216	0.0012372779884254	0.0098909635355069	0.0010041219847109	0.0016772563465765	0.0169788577506493	0.0008580775469638	0.0012452418413513	0.005896045812633	0.0010976604794425	0.0012745893386951	0.0060120443459739	0.0011847639035241	0.0018379790056165999	0.0072810962796877	0.0011226154281676	0.08885717906752741	0.0075393560098281995		0.0968217363104255	0.004575707154742	0.0015106500819507	0.1043485095369663	0.0035833392464251997	0.0010014462641293	0.0498971193415789	0.0060089923946891	0.0017857142857153	0.0484530331667666	0.0048537736431603	0.0012019711519477	0.050813594089390804	0.0046974182078565	0.07027137917287579	0.040541384948484596	0.0054899603393894	0.0427906069184011	0.0372417025272143	0.0043653172033997	0.0530168698837667	0.042232262907540605	0.0032107758194495004	0.0531364596043869	0.0497284628994002	0.0114884857952129	0.041585880829993704	0.0520436472084893	0.0181296741376047	0.054810556735995795	0.048339888220692295	0.008205139959145399	0.1091008795631259	0.0544786242152285	0.0075164643600084	0.08656303134219161	0.0432451417143299	0.005982100810368401	0.050861152476134	0.0431377556192268	0.0058587946304428	0.078446073589617	0.051085935298503304	0.0028984937242656	0.0981163564578882	0.0612302782779977	0.0050384965347897	0.0502083839337063	0.06917953914203151	0.0036272016214056	0.0256291067903213	0.0512991207869266	0.0039792143044704	0.031081639600366997	0.0508574258951582	0.0037754031641449	0.028270012157894	0.0559666650794147	0.0039775146796017	0.0889359555443944	0.0486336023199071	0.006879857832000701	0.0747890994061895	0.0410252534651236	0.0055597817796915	0.057237408111674395	0.0351332949201145	0.0034514453435472	0.0292848435755515	0.0389830491332431	0.022922746889964003	0.0412680955387213	0.049798726617836596	0.0128859438447588	0.0541556456077118	0.049339596984126995	0.0355568559644781	0.073528832228582	0.0466113767162719	0.0065989446659418995	0.0642484122990649	0.0494239600569574	0.0079805388533901	0.06506178312155239	0.0447709620434689	0.0061783557904136	0.0259662515726074	0.0646782828865699	0.0056575421202831	0.0315113207408092	0.1033825062447052	0.008839739435407999	0.0443082661890457	0.144939093940888	0.0051578246918424	0.0188737643823435	0.0621803797564453	0.0060344082153222	0.0315918025939604	0.0637329931874409	0.005092280292974901	0.031533125888549604	0.0686329571308798	0.0056681128892591	0.1155173508907662	0.0646126662656666	0.0055492470473618	0.07021562514495	0.0586129708793958	0.0049712040994713	0.0879449463806478	0.0642414492647928	0.0059932169771907	0.0642339493699202	0.0757819488376356	0.0178804646961838	0.06975335567982399	0.0656385272114174	0.028389916522503198	0.0390056763309895	0.0600198510466795	0.0119163279038209	0.1007004609531778	0.07368539724654559	0.0103106942152488	0.10133964647299991	0.0638190675495641	0.0077360519408851	0.1020449404257792	0.0623451996322799	0.0086550445641658	0.047233459847355296	0.06765936329449711	0.0049135649991918	0.0318603174831295	0.06685923997706769	0.0072938494134589	0.0488180098018505	0.0786616259322948	0.0037756088006037003	0.0449523401324851	0.0505791648221762	0.0060282625571882	0.0493217446065003	0.053746215889713005	0.0053072202884091	0.0447397199285096	0.06391158068121129	0.0053377376600518	0.0886213517549531	0.0464613819531078	0.0065390743485609	0.0759684811147853	0.0513965699514842	0.0057434918385831	0.0825414776934601	0.0477755303695792	0.0055803248298575	0.0272510728627595	0.0547881433781216	0.024967479339992802	0.055106226777661	0.021220884633799703	0.0522876960674196	0.0723529751529676	0.0486727480231307	0.11600762958222369	0.059113205148193196	0.1202981382411862	0.0541331764683396	0.0270932453828653	0.0006610109411061	0.0167770704324175	0.0009002637451985	0.025558257122789703	0.0004587269992937	0.027170914798238	0.0004433803316484	0.0260683982477369	0.0007315663680812	0.0256093572872974	0.0005907592966519	0.0003869704981464	0.0008625050400277	0.0008522177055283	0.000842565101369	0.0010614599598506	0.0007917111195874	0.0013564384491065	0.0004427387397417	0.0007163490424883	0.0003850335205653	0.0006035428600055	0.0004447579610231
Acidimicrobium		0.000317941462106																																																																																																																																														0.0001772649627743																																																																																																				0.0004826052289227				0.0003319634289373																						
Acutalibacter	0.0005462588475604	0.0003917276344867		0.000546757933684										0.0001550644281387																														0.0002495432345657																		0.0002133361911115			0.0002243856278926						0.0001265359096013			0.0005365224937029																																																0.0006455237854634												0.0005333740911786			0.0002379917418717																								0.0003133438712826			0.0004998913972256			0.0001485609165568																											0.000325378273472			0.0004422054412416						0.0005084031753246																																					0.0002209602813593						0.0004734244746873				0.000366721259326		0.0003086131719479																		
Adlercreutzia	0.0004583744211312	0.0008452643543474	0.0006857118142781	0.0003999064786153		0.0004892450732418	0.0004465179525764	0.0006038176860145		0.0004110904091531	0.0008398608974386	0.0005037353720618	0.0004565919246719	0.0007709393292967	0.0005100502951304	0.0005835264355881	0.0004632517648384	0.0009244993273571	0.0004827539134727	0.0005174370078632	0.0002462230182927		0.0005465284241042	0.0004562753319398		0.0010815908465015	0.00073747665166	0.0004162838115324	0.0007064895570588	0.0004698880100244	0.0005659004827776	0.0005125733694474	0.0006515719145829		0.0004792269763036	0.0006362996720492	0.0004255483771132	0.0008510363551741	0.0007474373576309	0.00041548043972	0.0005723361440158	0.0005078430936886	0.0004070394629198	0.0004775616063589	0.0003812767257314					0.0006634588704847		0.0002553575438505	0.0009124517267827			0.0009056912469323	0.001483383891422		0.0007982438542034	0.0016293403876411		0.0006157315102722	0.0009661516720559		0.0004740029985353	0.0004789828411419		0.0008416645924109	0.0004428200148295	0.0003667571334262	0.0006805159014823			0.0026174206637423	0.0016579873842348		0.0029777832892944	0.0031197947919084		0.0030195327201795	0.0023136292660824		0.0021395933189459	0.0004508775902751		0.0018648558774918			0.0016722888941904	0.0004483327471917	0.0004284456469814	0.0035412799380935			0.0022839219002119	0.0002550945934342	0.0004603379179442	0.0060523163266588	0.0005597199945603	0.0006370857873093	0.0030792858733726	0.0042338974235004		0.0030177846793432	0.0033408040148231	0.0004580113886611	0.0033118278554649	0.0035343363332917		0.0031990997416533			0.0018943822189503			0.001713228191427	0.0003439274154775	0.0006330588888495	0.0035190147164817	0.0012889634514377	0.0004254847972898	0.0040461414152721	0.0019658381491817		0.0081824491209167	0.0017213426990171		0.0027504820135305		0.00068383967621	0.0028361437121539			0.0024079788814821		0.0004758345372399	0.0041266686315017		0.0006579548408577	0.0037775767400363		0.000437954899274	0.0036215735667712	0.0003720053816642		0.0026447852927237	0.0010609661523299	0.0003870131221807	0.0031166742474354	0.0015692608116273		0.0020013332395117	0.000981533884879	0.0006077975281111	0.0028196995006307	0.0004015109844065	0.0003198322274278	0.0031739312637964		0.00022996631096	0.0019337335576652		0.0003628939821732	0.003669985834383	0.0014715488558269		0.0026788397407978	0.0005596401108414		0.0029863498887512			0.0028696760715231	0.0003289662655495		0.0026717610202463	0.0004103913088514		0.0029893911478083	0.0003877785464071		0.0073128828518797			0.0051438782884238	0.0002448512604928	0.0005306965153564	0.0048707783752665			0.0014791011195216	0.000934553721022		0.0027564635526454	0.0006412131276741		0.0018807149110672	0.0002929431837953		0.0027610993574944			0.0025884633223796		0.0005058890330187	0.003089252448076	0.0002685977978837		0.002892312645232	0.0002898055894114		0.0039116764497437	0.0008049600845554	0.0002483928095032	0.0053116347201219			0.0026901777998034			0.0030928208492372	0.0002204884667571		0.0017629405165171		0.0007716232745015	0.0070115606725789		0.0006122477937405	0.0084590356465123		0.0005693260397196	0.0052399782220767	0.0004445021898936	0.000364181335492	0.001332128553551		0.0016954497042313		0.0018159713383707	0.0002321971402494	0.0024405118979965	0.0004539872288502	0.0027446931221484	0.000357507926572	0.0020504406390822		0.0008029509861234		0.0002970974914327		0.0006484545324116		0.0006118994380298		0.0006201312477409		0.0008419958036369	0.0004831435558319	0.0010119428398108	0.0007747433662599	0.0007024969429898	0.0006719911987536	0.0008865181199151	0.0006129641926706	0.0004673356795103	0.0005712731882458	0.0006805927198584	0.0007697377895997	0.0004226011893814
Agathobacter		0.0001781801378595																																															0.0002754644034534																																																																									0.0001664175900752																																																																																																																																																				
Agathobaculum	0.0013129431984128	0.0022725974679615	0.0005572128907635	0.0027481348763913	0.0024743484384531	0.0005376706506232	0.001962829472117	0.0014182326017467	0.0008318029807693	0.0014635360551993	0.0017492230805188	0.0006207111754302	0.0014654281702833	0.00186513845055242	0.0006336340465987	0.0021263415415901	0.0016506374018035	0.0008577141071117	0.0021402377152998	0.0026746844968364002	0.0003937060722088	0.002576281697007	0.001558544520376	0.0005127530797011	0.0019991102427411	0.0016385658187333		0.0014550425987262	0.0019763801147598	0.0005616114711039	0.0019180517751932	0.0022432136786036	0.0012513844669388	0.0010483304894332	0.001892964990214	0.000947504144743	0.0010632381122064	0.0015640728867068	0.0004679481488405	0.001326882612732	0.0020090883171138	0.0005439566043787	0.0017714662848888	0.002226555471138	0.0004344381343574		0.0041305638189417		0.0072890739291808	0.0062075939217776	0.0023658947352633	0.0012071094455061	0.0017220792377719	0.0008948926180881	0.0010347204850264	0.0031178129528069	0.0013813520365265	0.0007727273258652	0.0022965571955657	0.0014925368527073	0.0029450106723604	0.0029887628097161	0.00107635349506	0.0016855713093699	0.0028635299698473	0.0016033510093835	0.0017962549756789	0.0017573613610008	0.0014521396303813	0.0014844937158215	0.002950665065947707	0.0019945280147371	0.0011813653571803	0.0030758382953596	0.0012782315884278		0.0038016238588851		0.0005761130339093	0.0021694694694647	0.0008875174374474	0.0009718201632387	0.0017825325737395	0.0009418463602012	0.0010157555477222	0.001519965655624	0.0007532847326576	0.0013822992806102	0.0022861368644335	0.0012619742204274		0.0050178105433825	0.0011352437326413		0.0059266456320783	0.0014595513879289		0.0044567248647776	0.0009183024248229	0.00037891954879	0.0027874760114925	0.0014257216512835		0.0020387246233605	0.0005045248840188	0.0004557133279916	0.0019091433788482	0.0009384772864368		0.0023268911935846	0.0009393087998504	0.0005601174601809	0.0031574898739493	0.0032542914688788		0.0024855719666854	0.0006969434317304		0.0023677894226584	0.0005472883735566		0.005160364335028599	0.0008563665533752		0.0029753228992512	0.0015010742303427		0.002841387029613	0.0013562171498702	0.000242014118116	0.0024997945599372	0.0014832780313501	0.0009717840845826	0.0035636929646192	0.0013985966406932		0.0050634728058408	0.0013819558889057		0.0050838264158279	0.0017542262537534		0.0055580157645048	0.0012153055728735		0.003126311797277	0.0008880233470055		0.0020092227607602	0.0009157638985462		0.0023975888268094	0.0008308470954432		0.0019866119075434	0.0011440803806178		0.0019994007077513	0.0010246610402845		0.0020461760470208	0.0009514268832985	0.0002622466450141	0.0037621157703875	0.0007319088861475	0.0006097076521466	0.0050263321592232	0.0018697110609796		0.005483024884929			0.0031434452831959	0.0007394314126863	0.0006041965039978	0.0023904963246152	0.0008001285383693		0.0020260761514128	0.0010331729750386		0.0057434590559935			0.0057994236305288	0.0009132859171805		0.0051637485787381	0.0010475324275221	0.0002259843286613	0.0033375615294539	0.0006989365581057		0.0027807507337929	0.0005818037542338	0.0005042037863208	0.0034013584758567	0.001021931443271		0.0035960797263475			0.0033093134206425	0.0013129883438128		0.0016660385686179	0.0008315886821102		0.0025442501615928	0.0010528155092741		0.0024200665729692	0.0008174865180642		0.0013782183359009	0.0009047087243907	0.0003483805364109	0.0018945494791848	0.0009972484680653	0.0005769195248694	0.0018296550272673	0.0013469094165158	0.0005915158940721	0.0026044611384893	0.0012412642421232		0.0027780354068871	0.0008733166798672		0.0027762194695836	0.0005935619080333		0.0029813734816471	0.0010574566483934	0.0009795988781309	0.0028499981919937	0.0008696486118571	0.0024472368620860998	0.0008483481651823	0.0024787726603614	0.0002704300434768	0.0025034085167479	0.0008392249065333	0.0028079582801609		0.0034746351882297	0.0009829716253833	0.0011448939554417	0.0014392867903538	0.0011880941408201	0.0003926464202839	0.001323064209627	0.0015749830379851	0.0012488699030118		0.0010775826475583	0.0008219333001676	0.0012081534431731	0.0016388220625917	0.0012951861906364	0.0010921507048604	0.0009071906275459	0.001132972457423	0.0010175355399825	0.0015798575397013	0.0010383059288715	0.0027276325271652	0.0011608123305567	0.0016647982249616	0.0010102102834001
Akkermansia														0.000211018407298							0.0001452449052556		0.0001407083257116						0.0001314405888538																								0.0003475749959895																																																																																																																																																																																																																						0.0002751637224148	0.0003397354593223	0.0003680529996319	
