species	BC_01_PL1_both	BC_01_PL2_both	BC_01_PL3_both	BC_02_PL1_both	BC_02_PL2_both	BC_02_PL3_both	BC_03_PL1_both	BC_03_PL2_both	BC_03_PL3_both	BC_04_PL1_both	BC_04_PL2_both	BC_04_PL3_both	BC_05_PL1_both	BC_05_PL2_both	BC_05_PL3_both	BC_06_PL1_both	BC_06_PL2_both	BC_06_PL3_both	BC_07_PL1_both	BC_07_PL2_both	BC_07_PL3_both	BC_08_PL1_both	BC_08_PL2_both	BC_08_PL3_both	BC_09_PL1_both	BC_09_PL2_both	BC_09_PL3_both	BC_10_PL1_both	BC_10_PL2_both	BC_10_PL3_both	BC_11_PL1_both	BC_11_PL2_both	BC_11_PL3_both	BC_12_PL1_both	BC_12_PL2_both	BC_12_PL3_both	BC_13_PL1_both	BC_13_PL2_both	BC_13_PL3_both	BC_14_PL1_both	BC_14_PL2_both	BC_14_PL3_both	BC_15_PL1_both	BC_15_PL2_both	BC_15_PL3_both	BC_16_PL1_both	BC_16_PL2_both	BC_16_PL3_both	BC_17_PL1_both	BC_17_PL2_both	BC_17_PL3_both	BC_18_PL1_both	BC_18_PL2_both	BC_18_PL3_both	BC_19_PL1_both	BC_19_PL2_both	BC_19_PL3_both	BC_20_PL1_both	BC_20_PL2_both	BC_20_PL3_both	BC_21_PL1_both	BC_21_PL2_both	BC_21_PL3_both	BC_22_PL1_both	BC_22_PL2_both	BC_22_PL3_both	BC_23_PL1_both	BC_23_PL2_both	BC_23_PL3_both	BC_24_PL1_both	BC_24_PL2_both	BC_24_PL3_both	BC_25_PL1_both	BC_25_PL2_both	BC_25_PL3_both	BC_26_PL1_both	BC_26_PL2_both	BC_26_PL3_both	BC_27_PL1_both	BC_27_PL2_both	BC_27_PL3_both	BC_28_PL1_both	BC_28_PL2_both	BC_28_PL3_both	BC_29_PL1_both	BC_29_PL2_both	BC_29_PL3_both	BC_30_PL1_both	BC_30_PL2_both	BC_30_PL3_both	BC_31_PL1_both	BC_31_PL2_both	BC_31_PL3_both	BC_32_PL1_both	BC_32_PL2_both	BC_32_PL3_both	BC_33_PL1_both	BC_33_PL2_both	BC_33_PL3_both	BC_34_PL1_both	BC_34_PL2_both	BC_34_PL3_both	BC_35_PL1_both	BC_35_PL2_both	BC_35_PL3_both	BC_36_PL1_both	BC_36_PL2_both	BC_36_PL3_both	BC_37_PL1_both	BC_37_PL2_both	BC_37_PL3_both	BC_38_PL1_both	BC_38_PL2_both	BC_38_PL3_both	BC_39_PL1_both	BC_39_PL2_both	BC_39_PL3_both	BC_40_PL1_both	BC_40_PL2_both	BC_40_PL3_both	BC_41_PL1_both	BC_41_PL2_both	BC_41_PL3_both	BC_42_PL1_both	BC_42_PL2_both	BC_42_PL3_both	BC_43_PL1_both	BC_43_PL2_both	BC_43_PL3_both	BC_44_PL1_both	BC_44_PL2_both	BC_44_PL3_both	BC_45_PL1_both	BC_45_PL2_both	BC_45_PL3_both	BC_46_PL1_both	BC_46_PL2_both	BC_46_PL3_both	BC_47_PL1_both	BC_47_PL2_both	BC_47_PL3_both	BC_48_PL1_both	BC_48_PL2_both	BC_48_PL3_both	BC_49_PL1_both	BC_49_PL2_both	BC_49_PL3_both	BC_50_PL1_both	BC_50_PL2_both	BC_50_PL3_both	BC_51_PL1_both	BC_51_PL2_both	BC_51_PL3_both	BC_52_PL1_both	BC_52_PL2_both	BC_52_PL3_both	BC_53_PL1_both	BC_53_PL2_both	BC_53_PL3_both	BC_54_PL1_both	BC_54_PL2_both	BC_54_PL3_both	BC_55_PL1_both	BC_55_PL2_both	BC_55_PL3_both	BC_56_PL1_both	BC_56_PL2_both	BC_56_PL3_both	BC_57_PL1_both	BC_57_PL2_both	BC_57_PL3_both	BC_58_PL1_both	BC_58_PL2_both	BC_58_PL3_both	BC_59_PL1_both	BC_59_PL2_both	BC_59_PL3_both	BC_60_PL1_both	BC_60_PL2_both	BC_60_PL3_both	BC_61_PL1_both	BC_61_PL2_both	BC_61_PL3_both	BC_62_PL1_both	BC_62_PL2_both	BC_62_PL3_both	BC_63_PL1_both	BC_63_PL2_both	BC_63_PL3_both	BC_64_PL1_both	BC_64_PL2_both	BC_64_PL3_both	BC_65_PL1_both	BC_65_PL2_both	BC_65_PL3_both	BC_66_PL1_both	BC_66_PL2_both	BC_66_PL3_both	BC_67_PL1_both	BC_67_PL2_both	BC_67_PL3_both	BC_68_PL1_both	BC_68_PL2_both	BC_68_PL3_both	BC_69_PL1_both	BC_69_PL2_both	BC_69_PL3_both	BC_70_PL1_both	BC_70_PL2_both	BC_70_PL3_both	BC_71_PL1_both	BC_71_PL2_both	BC_71_PL3_both	BC_72_PL1_both	BC_72_PL2_both	BC_72_PL3_both	BC_73_PL1_both	BC_73_PL2_both	BC_73_PL3_both	BC_74_PL1_both	BC_74_PL2_both	BC_74_PL3_both	BC_75_PL1_both	BC_75_PL2_both	BC_75_PL3_both	BC_76_PL1_both	BC_76_PL2_both	BC_76_PL3_both	BC_77_PL1_both	BC_77_PL2_both	BC_77_PL3_both	BC_78_PL1_both	BC_78_PL2_both	BC_78_PL3_both	BC_79_PL1_both	BC_79_PL2_both	BC_80_PL1_both	BC_80_PL2_both	BC_81_PL1_both	BC_81_PL2_both	BC_82_PL1_both	BC_82_PL2_both	BC_83_PL1_both	BC_83_PL2_both	BC_84_PL1_both	BC_84_PL2_both	BC_85_PL1_both	BC_85_PL2_both	BC_86_PL1_both	BC_86_PL2_both	BC_87_PL1_both	BC_87_PL2_both	BC_88_PL1_both	BC_88_PL2_both	BC_89_PL1_both	BC_89_PL2_both	BC_90_PL1_both	BC_90_PL2_both	BC_91_PL1_both	BC_91_PL2_both	BC_92_PL1_both	BC_92_PL2_both	BC_93_PL1_both	BC_93_PL2_both	BC_94_PL1_both	BC_94_PL2_both	BC_95_PL1_both	BC_95_PL2_both	BC_96_PL1_both	BC_96_PL2_both
Acetanaerobacterium elongatum																																																																																																																																																																																																																							0.0001940823695734																									0.000102536658647																														
Acetivibrio ethanolgignens		0.0002854418399165		0.0004719644513251										0.0001283376917541						0.0002428126880912																													0.0002799137550749	0.0003275677433699																																																															0.0002696518163882						0.0001182820420027			0.000127653408891																					0.000160359256357																																																																																																	0.0001684646990014				0.0002286417271102												0.0002167872999585		0.0001237643381888												
Acholeplasma axanthum																																																																																																			0.0002795248078266																																																																					0.0007608362235496																																																			0.0004137238098052																																																			
Acholeplasma laidlawii	0.0003460586700496			0.0002340906542062																																													0.0006021480092413																																																																																																																																																																																																											0.000334833633002																		
Acidaminococcus fermentans	0.0008434256055373	0.0013816783573021	0.00027332840025	0.0006506007062849	0.0005682048956811	0.0002652475277091	0.0007927260423878	0.0008784880313424		0.000508764845456	0.0011052793362667		0.0005632546535131	0.001208572456797	0.0002756005723213	0.0005186886788309	0.0010111437928559	0.0005136106831022	0.0009503290612391	0.0012241354719977	0.0002346419330965	0.001159666254831	0.0012651166726649	0.0002235335172208	0.0009971609816075	0.0013613300683659		0.0013609852774421	0.0014568484860744	0.0003915733423671	0.0011805410624554	0.0013189755306036		0.0009451795800476	0.0011980603226498		0.0005219978222765	0.0011223233564561	0.0004271109678879	0.0007853763125987	0.0010499734884948	0.0002659136180676	0.0010924646996797	0.0010691978647585	0.0002771714651972		0.0013962155671824		0.0011966555207731	0.0011785850947378		0.0008178564096154	0.001361489726634		0.0010243977020399	0.0013447979163627	0.0152937483731548	0.0006866931567216	0.0012372779884254	0.0088297520482783	0.0010041219847109	0.0015617371624926	0.0157429168493697	0.0008580775469638	0.0012452418413513	0.0050772750961496	0.0010976604794425	0.0012745893386951	0.0049868834297607	0.0011847639035241	0.0017097363986426	0.0062685016069072	0.0011226154281676	0.0855796226263813	0.0064063648476545		0.0942902688752703	0.004575707154742	0.0015106500819507	0.1015376989279336	0.0030156815267049	0.0010014462641293	0.048014159945734	0.0052794907452569	0.0017857142857153	0.0462161697682903	0.0040510149983471	0.0012019711519477	0.0482230325234809	0.0040066193837656	0.0618613221309509	0.0381714623795539	0.0046955004406505	0.037356413537676	0.0350093206413261	0.003670137962216	0.0469115414833956	0.0403096582688872	0.0026628921189178	0.0478818226651427	0.0473900220135764	0.0100068770006907	0.0377824553767698	0.0496704920373773	0.0160300224480852	0.0510915846729415	0.0457682044053067	0.0072411566268516	0.1032040273462978	0.0514163485644248	0.0063785464683869	0.0814300152610439	0.0408514393155529	0.0052244605223517	0.0486913273479366	0.0408948696172394	0.0052367985277376	0.0743277166493516	0.0486581688319403	0.002541552322554	0.0934793032894446	0.0580151549418914	0.004189262291532	0.0466804916026075	0.0658246456042011	0.0036272016214056	0.0223148145828906	0.04949512509576	0.0033964105309854	0.0273018013781721	0.0492640991195645	0.00298505790862	0.0231838928264163	0.0535465603751395	0.0031576074329851	0.082171787205346	0.0464704171445158	0.0057988017988523	0.0661714297348424	0.0388596300752119	0.0046433754948952	0.0510592409223282	0.0334512401408669	0.0029954431654352	0.0251756223642805	0.037558317078421	0.021061301814086	0.0354366886156468	0.0478472790009611	0.0118122745902826	0.0468412372906835	0.0473450252637343	0.0334545502741125	0.0640751102833465	0.0445715582517796	0.0055326137993633	0.0599352807528421	0.0473332977836949	0.0069111402442912	0.059496392662634	0.0430305441142895	0.0055138632161232	0.018550362280855	0.0617723523601576	0.0050255243715295	0.0234751477796627	0.0995050092422671	0.0079924802083394	0.0324017566024083	0.1389641614226398	0.0051578246918424	0.0160591983602006	0.0587354363895239	0.005206316752795	0.0284562250088739	0.0610359683261885	0.004094502409064	0.0281502491701523	0.0655819793211547	0.004724781812132	0.098782748492795	0.0608231402250283	0.0055492470473618	0.0599689769171515	0.0553814196892606	0.0039936940056487	0.0769991097945751	0.0606911520152142	0.0049342305236305	0.0519805399375022	0.0722297793282524	0.0153621624823451	0.0583174426078777	0.0626642757293178	0.0246455742404537	0.0312983617585898	0.0575102925119515	0.0105780031638454	0.0897383964172264	0.0703238362415206	0.0103106942152488	0.0916977255237429	0.0607243644591308	0.0067487900280931	0.09035710294992	0.0599358631128572	0.0077489354577204	0.0394808278332185	0.0649607989506553	0.0043152219327174	0.0264638726978901	0.0637765628432945	0.005974583739705	0.0402103640833081	0.0747606162226851	0.0033620549038206	0.0374317376804179	0.0488410534516371	0.0050567464473051	0.0433070648175662	0.0523321587743207	0.0043382786665305	0.0358356346860339	0.061209736872361	0.0043401047045227	0.0828655203880463	0.0446493891585889	0.0055798588386695	0.0686188797362902	0.0494603233175617	0.0049007043166316	0.0705429934970755	0.0462052159265249	0.0047111968417979	0.0234021139746366	0.05215014909999	0.0203958955257513	0.0526361419439989	0.016609445246983	0.0499178297555936	0.0613636807003983	0.0463439127030039	0.1016993340157862	0.0566253338480471	0.1051682507322861	0.0516298918196547	0.0221462002732433	0.0006610109411061	0.0125132452933725	0.0009002637451985	0.020760074086947	0.0004587269992937	0.0233039233478294	0.0004433803316484	0.0224097192167113	0.0007315663680812	0.0216819846077863	0.0005907592966519	0.0003869704981464	0.0008625050400277	0.0008522177055283	0.000842565101369	0.0010614599598506	0.0007917111195874	0.0013564384491065	0.0004427387397417	0.0007163490424883	0.0003850335205653	0.0006035428600055	0.0004447579610231
Acidaminococcus intestini		0.0001728213533195		0.0002304998943999				0.0002901937651141			0.0001488900656424			0.000171696795834			0.0001459541891322																		0.000277747430144																						0.0008598356847151			0.0010612114872286		0.0001155191840839	0.0012359409012796			0.0008187707164834			0.0010251609162132		0.000128242606974	0.0010125946727805		0.0032775564411461	0.0011329911621737		0.0025314674351552			0.0028108106090327	0.0005676577197203		0.0018829593958449	0.0007295016494322		0.0022368633984763	0.0008027586448132		0.0025905615659099	0.0006907988240909	0.0084100570419249	0.0023699225689307	0.0007944598987389	0.0054341933807251	0.0022323818858882	0.0006951792411837	0.0061053284003711	0.0019226046386534	0.0005478837005317	0.0052546369392442	0.0023384408858238	0.0014816087945222	0.0038034254532239	0.002373155171112	0.0020996516895195	0.0037189720630543	0.0025716838153856	0.0009639833322938	0.0058968522168281	0.0030622756508037	0.0011379178916215	0.0051330160811477	0.002393702398777	0.0007576402880167	0.0021698251281974	0.0022428860019874	0.0006219961027052	0.0041183569402654	0.002427766466563	0.0003569414017116	0.0046370531684436	0.0032151233361063	0.0008492342432577	0.0035278923310988	0.0033548935378304		0.0033142922074307	0.0018039956911666	0.000582803773485	0.0037798382221949	0.0015933267755937	0.0007903452555249	0.0050861193314777	0.0024201047042752	0.0008199072466166	0.0067641683390484	0.0021631851753913	0.0010810560331484	0.0086176696713471	0.0021656233899117	0.0009164062847963	0.0061781671893462	0.0016820547792476	0.000456002178112	0.004109221211271	0.0014247320548221	0.001861445075878	0.0058314069230745	0.0019514476168755	0.0010736692544762	0.0073144083170283	0.0019945717203927	0.0021023056903656	0.0094537219452355	0.0020398184644923	0.0010663308665786	0.0043131315462228	0.0020906622732625	0.0010693986090989	0.0055653904589184	0.0017404179291794	0.0006644925742904	0.0074158892917524	0.0029059305264123	0.0006320177487536	0.0080361729611465	0.0038774970024381	0.0008472592270686	0.0119065095866374	0.0059749325182482		0.0028145660221429	0.0034449433669214	0.0008280914625272	0.0031355775850865	0.0026970248612524	0.0009977778839109	0.0033828767183973	0.0030509778097251	0.0009433310771271	0.0167346023979712	0.0037895260406383		0.0102466482277985	0.0032315511901352	0.0009775100938226	0.0109458365860727	0.0035502972495786	0.0010589864535602	0.012253409432418	0.0035521695093832	0.0025183022138387	0.0114359130719463	0.0029742514820996	0.0037443422820495	0.0077073145723997	0.002509558534728	0.0013383247399755	0.0109620645359514	0.003361561005025		0.009641920949257	0.0030947030904333	0.000987261912792	0.0116878374758592	0.0024093365194227	0.0009061091064454	0.0077526320141368	0.0026985643438418	0.0005983430664744	0.0053964447852394	0.0030826771337732	0.0013192656737539	0.0086076457185424	0.0039010097096097	0.0004135538967831	0.0075206024520672	0.0017381113705391	0.0009715161098831	0.0060146797889341	0.0014140571153923	0.0009689416218786	0.0089040852424757	0.0027018438088503	0.0009976329555291	0.0057558313669068	0.0018119927945189	0.0009592155098914	0.0073496013784951	0.0019362466339225	0.0008427875219515	0.0119984841963846	0.0015703144430543	0.0008691279880596	0.0038489588881229	0.0026379942781316	0.0045715838142415	0.0024700848336621	0.0046114393868167	0.002369866311826	0.0109892944525693	0.0023288353201268	0.0143082955664375	0.0024878713001461	0.0151298875089001	0.0025032846486849	0.004947045109622		0.004263825139045		0.0047981830358427		0.0038669914504086		0.0036586790310256		0.0039273726795111													
Acidimicrobium ferrooxidans		0.000317941462106																																																																																																																																														0.0001772649627743																																																																																																				0.0004826052289227				0.0003319634289373																						
Acutalibacter muris	0.0005462588475604	0.0003917276344867		0.000546757933684										0.0001550644281387																														0.0002495432345657																		0.0002133361911115			0.0002243856278926						0.0001265359096013			0.0005365224937029																																																0.0006455237854634												0.0005333740911786			0.0002379917418717																								0.0003133438712826			0.0004998913972256			0.0001485609165568																											0.000325378273472			0.0004422054412416						0.0005084031753246																																					0.0002209602813593						0.0004734244746873				0.000366721259326		0.0003086131719479																		
Adlercreutzia equolifaciens	0.0004583744211312	0.0008452643543474	0.0006857118142781	0.0003999064786153		0.0004892450732418	0.0004465179525764	0.0006038176860145		0.0004110904091531	0.0008398608974386	0.0005037353720618	0.0004565919246719	0.0007709393292967	0.0005100502951304	0.0005835264355881	0.0004632517648384	0.0009244993273571	0.0004827539134727	0.0005174370078632	0.0002462230182927		0.0005465284241042	0.0004562753319398		0.0010815908465015	0.00073747665166	0.0004162838115324	0.0007064895570588	0.0004698880100244	0.0005659004827776	0.0005125733694474	0.0006515719145829		0.0004792269763036	0.0006362996720492	0.0004255483771132	0.0008510363551741	0.0007474373576309	0.00041548043972	0.0005723361440158	0.0005078430936886	0.0004070394629198	0.0004775616063589	0.0003812767257314					0.0006634588704847		0.0002553575438505	0.0009124517267827			0.0009056912469323	0.001483383891422		0.0007982438542034	0.0016293403876411		0.0006157315102722	0.0009661516720559		0.0004740029985353	0.0004789828411419		0.0008416645924109	0.0004428200148295	0.0003667571334262	0.0006805159014823			0.0026174206637423	0.0016579873842348		0.0029777832892944	0.0031197947919084		0.0030195327201795	0.0023136292660824		0.0021395933189459	0.0004508775902751		0.0018648558774918			0.0016722888941904	0.0004483327471917	0.0004284456469814	0.0035412799380935			0.0022839219002119	0.0002550945934342	0.0004603379179442	0.0060523163266588	0.0005597199945603	0.0006370857873093	0.0030792858733726	0.0042338974235004		0.0030177846793432	0.0033408040148231	0.0004580113886611	0.0033118278554649	0.0035343363332917		0.0031990997416533			0.0018943822189503			0.001713228191427	0.0003439274154775	0.0006330588888495	0.0035190147164817	0.0012889634514377	0.0004254847972898	0.0040461414152721	0.0019658381491817		0.0081824491209167	0.0017213426990171		0.0027504820135305		0.00068383967621	0.0028361437121539			0.0024079788814821		0.0004758345372399	0.0041266686315017		0.0006579548408577	0.0037775767400363		0.000437954899274	0.0036215735667712	0.0003720053816642		0.0026447852927237	0.0010609661523299	0.0003870131221807	0.0031166742474354	0.0015692608116273		0.0020013332395117	0.000981533884879	0.0006077975281111	0.0028196995006307	0.0004015109844065	0.0003198322274278	0.0031739312637964		0.00022996631096	0.0019337335576652		0.0003628939821732	0.003669985834383	0.0014715488558269		0.0026788397407978	0.0005596401108414		0.0029863498887512			0.0028696760715231	0.0003289662655495		0.0026717610202463	0.0004103913088514		0.0029893911478083	0.0003877785464071		0.0073128828518797			0.0051438782884238	0.0002448512604928	0.0005306965153564	0.0048707783752665			0.0014791011195216	0.000934553721022		0.0027564635526454	0.0006412131276741		0.0018807149110672	0.0002929431837953		0.0027610993574944			0.0025884633223796		0.0005058890330187	0.003089252448076	0.0002685977978837		0.002892312645232	0.0002898055894114		0.0039116764497437	0.0008049600845554	0.0002483928095032	0.0053116347201219			0.0026901777998034			0.0030928208492372	0.0002204884667571		0.0017629405165171		0.0007716232745015	0.0070115606725789		0.0006122477937405	0.0084590356465123		0.0003102081908224	0.0052399782220767	0.0004445021898936	0.000364181335492	0.001332128553551		0.0016954497042313		0.0018159713383707	0.0002321971402494	0.0024405118979965	0.0004539872288502	0.0027446931221484	0.000357507926572	0.0020504406390822		0.0008029509861234		0.0002970974914327		0.0006484545324116		0.0006118994380298		0.0006201312477409		0.0008419958036369	0.0004831435558319	0.0010119428398108	0.0007747433662599	0.0007024969429898	0.0006719911987536	0.0008865181199151	0.0006129641926706	0.0004673356795103	0.0005712731882458	0.0006805927198584	0.0007697377895997	0.0004226011893814
Adlercreutzia muris																																																																																																																																																																																																																																								0.0002591178488972																																						
