genus	BC_01_PL1_both	BC_01_PL2_both	BC_01_PL3_both	BC_02_PL1_both	BC_02_PL2_both	BC_02_PL3_both	BC_03_PL1_both	BC_03_PL2_both	BC_03_PL3_both	BC_04_PL1_both	BC_04_PL2_both	BC_04_PL3_both	BC_05_PL1_both	BC_05_PL2_both	BC_05_PL3_both	BC_06_PL1_both	BC_06_PL2_both	BC_06_PL3_both	BC_07_PL1_both	BC_07_PL2_both	BC_07_PL3_both	BC_08_PL1_both	BC_08_PL2_both	BC_08_PL3_both	BC_09_PL1_both	BC_09_PL2_both	BC_09_PL3_both	BC_10_PL1_both	BC_10_PL2_both	BC_10_PL3_both	BC_11_PL1_both	BC_11_PL2_both	BC_11_PL3_both	BC_12_PL1_both	BC_12_PL2_both	BC_12_PL3_both	BC_13_PL1_both	BC_13_PL2_both	BC_13_PL3_both	BC_14_PL1_both	BC_14_PL2_both	BC_14_PL3_both	BC_15_PL1_both	BC_15_PL2_both	BC_15_PL3_both	BC_16_PL1_both	BC_16_PL2_both	BC_16_PL3_both	BC_17_PL1_both	BC_17_PL2_both	BC_17_PL3_both	BC_18_PL1_both	BC_18_PL2_both	BC_18_PL3_both	BC_19_PL1_both	BC_19_PL2_both	BC_19_PL3_both	BC_20_PL1_both	BC_20_PL2_both	BC_20_PL3_both	BC_21_PL1_both	BC_21_PL2_both	BC_21_PL3_both	BC_22_PL1_both	BC_22_PL2_both	BC_22_PL3_both	BC_23_PL1_both	BC_23_PL2_both	BC_23_PL3_both	BC_24_PL1_both	BC_24_PL2_both	BC_24_PL3_both	BC_25_PL1_both	BC_25_PL2_both	BC_25_PL3_both	BC_26_PL1_both	BC_26_PL2_both	BC_26_PL3_both	BC_27_PL1_both	BC_27_PL2_both	BC_27_PL3_both	BC_28_PL1_both	BC_28_PL2_both	BC_28_PL3_both	BC_29_PL1_both	BC_29_PL2_both	BC_29_PL3_both	BC_30_PL1_both	BC_30_PL2_both	BC_30_PL3_both	BC_31_PL1_both	BC_31_PL2_both	BC_31_PL3_both	BC_32_PL1_both	BC_32_PL2_both	BC_32_PL3_both	BC_33_PL1_both	BC_33_PL2_both	BC_33_PL3_both	BC_34_PL1_both	BC_34_PL2_both	BC_34_PL3_both	BC_35_PL1_both	BC_35_PL2_both	BC_35_PL3_both	BC_36_PL1_both	BC_36_PL2_both	BC_36_PL3_both	BC_37_PL1_both	BC_37_PL2_both	BC_37_PL3_both	BC_38_PL1_both	BC_38_PL2_both	BC_38_PL3_both	BC_39_PL1_both	BC_39_PL2_both	BC_39_PL3_both	BC_40_PL1_both	BC_40_PL2_both	BC_40_PL3_both	BC_41_PL1_both	BC_41_PL2_both	BC_41_PL3_both	BC_42_PL1_both	BC_42_PL2_both	BC_42_PL3_both	BC_43_PL1_both	BC_43_PL2_both	BC_43_PL3_both	BC_44_PL1_both	BC_44_PL2_both	BC_44_PL3_both	BC_45_PL1_both	BC_45_PL2_both	BC_45_PL3_both	BC_46_PL1_both	BC_46_PL2_both	BC_46_PL3_both	BC_47_PL1_both	BC_47_PL2_both	BC_47_PL3_both	BC_48_PL1_both	BC_48_PL2_both	BC_48_PL3_both	BC_49_PL1_both	BC_49_PL2_both	BC_49_PL3_both	BC_50_PL1_both	BC_50_PL2_both	BC_50_PL3_both	BC_51_PL1_both	BC_51_PL2_both	BC_51_PL3_both	BC_52_PL1_both	BC_52_PL2_both	BC_52_PL3_both	BC_53_PL1_both	BC_53_PL2_both	BC_53_PL3_both	BC_54_PL1_both	BC_54_PL2_both	BC_54_PL3_both	BC_55_PL1_both	BC_55_PL2_both	BC_55_PL3_both	BC_56_PL1_both	BC_56_PL2_both	BC_56_PL3_both	BC_57_PL1_both	BC_57_PL2_both	BC_57_PL3_both	BC_58_PL1_both	BC_58_PL2_both	BC_58_PL3_both	BC_59_PL1_both	BC_59_PL2_both	BC_59_PL3_both	BC_60_PL1_both	BC_60_PL2_both	BC_60_PL3_both	BC_61_PL1_both	BC_61_PL2_both	BC_61_PL3_both	BC_62_PL1_both	BC_62_PL2_both	BC_62_PL3_both	BC_63_PL1_both	BC_63_PL2_both	BC_63_PL3_both	BC_64_PL1_both	BC_64_PL2_both	BC_64_PL3_both	BC_65_PL1_both	BC_65_PL2_both	BC_65_PL3_both	BC_66_PL1_both	BC_66_PL2_both	BC_66_PL3_both	BC_67_PL1_both	BC_67_PL2_both	BC_67_PL3_both	BC_68_PL1_both	BC_68_PL2_both	BC_68_PL3_both	BC_69_PL1_both	BC_69_PL2_both	BC_69_PL3_both	BC_70_PL1_both	BC_70_PL2_both	BC_70_PL3_both	BC_71_PL1_both	BC_71_PL2_both	BC_71_PL3_both	BC_72_PL1_both	BC_72_PL2_both	BC_72_PL3_both	BC_73_PL1_both	BC_73_PL2_both	BC_73_PL3_both	BC_74_PL1_both	BC_74_PL2_both	BC_74_PL3_both	BC_75_PL1_both	BC_75_PL2_both	BC_75_PL3_both	BC_76_PL1_both	BC_76_PL2_both	BC_76_PL3_both	BC_77_PL1_both	BC_77_PL2_both	BC_77_PL3_both	BC_78_PL1_both	BC_78_PL2_both	BC_78_PL3_both	BC_79_PL1_both	BC_79_PL2_both	BC_80_PL1_both	BC_80_PL2_both	BC_81_PL1_both	BC_81_PL2_both	BC_82_PL1_both	BC_82_PL2_both	BC_83_PL1_both	BC_83_PL2_both	BC_84_PL1_both	BC_84_PL2_both	BC_85_PL1_both	BC_85_PL2_both	BC_86_PL1_both	BC_86_PL2_both	BC_87_PL1_both	BC_87_PL2_both	BC_88_PL1_both	BC_88_PL2_both	BC_89_PL1_both	BC_89_PL2_both	BC_90_PL1_both	BC_90_PL2_both	BC_91_PL1_both	BC_91_PL2_both	BC_92_PL1_both	BC_92_PL2_both	BC_93_PL1_both	BC_93_PL2_both	BC_94_PL1_both	BC_94_PL2_both	BC_95_PL1_both	BC_95_PL2_both	BC_96_PL1_both	BC_96_PL2_both
Acetanaerobacterium																																																																																																																																																																																																																							10.921597183006735																									10.093708677212556																														
Acetivibrio		21.70613927461597		26.32712102382										15.809150221041156						14.086778099615351																													11.715230391153254	15.151973537320576																																																															14.24058207528008						10.198277661477734			11.14005768710712																					15.911486852771494																																																																																																	16.5836649697011				10.896607430620923												13.036937857608269		11.313174389503793												
Acholeplasma	16.001752903094356			13.058044872935604																																													25.20170063077667																																																		14.0																																																																					37.99996518518832																																																			14.0																																	20.111112499004957																		
Acidaminococcus	39.00000000004563	118.21037599451158	13.000318701091295	49.14955370740603	14.000000424688054	14.9997476919547	25.07392472072924	60.000123430078254		28.466410632954585	124.93659330999122		21.00996183069521	170.02708761611444	11.88747948593563	18.000053221471596	88.08176968289153	14.999999999999805	55.19891319301493	71.01821940794737	21.001391579875445	46.0689016394188	89.91057680962402	11.102462733324469	32.99107107648548	47.00672726067571		85.03436013458702	121.92073610259608	15.000000026057611	47.985452565626304	67.00000002807109		27.99999987933068	84.99914752216868		13.493121708026832	56.29349491312582	12.000109753781013	35.962381353895246	60.00808481446014	11.000580465841248	42.9884859323996	74.86095769893168	15.999999999975588		19.061134923174496		50.08362351091893	54.51663214219308		48.06705690591893	50.92243875556857		25.46242928190612	46.02974308126517	500.0503480954251	10.003745907120615	31.0	264.9888040797671	23.633015032156507	149.01416285524817	949.7633448558261	32.94073895039459	112.99698040974717	233.96688993690566	51.23549819894177	49.97409879155927	204.4756402509205	64.60754518697887	232.04484945911355	384.17976410144456	32.991422202991174	3221.87245580948	94.1062417146761		1428.7983627329504	22.0	29.99999997746025	3416.9962932975013	100.99999999974406	35.999990302921375	2309.737654321693	254.6791246641092	47.000000000026816	1932.306962690655	114.78689288710055	38.98713628457638	2915.531588066982	167.73540936614418	2314.247330300324	1715.4276213252356	160.87779778547068	1751.7618660255066	2347.6424439105376	172.0327856687818	1382.0437641300325	1463.305677483377	160.81170691713032	2014.775138819539	3123.196112396832	249.047395068626	1133.2152526173322	1758.3466645860215	544.9054858798488	2345.2341016197906	3037.0501572414437	343.49177410970543	3690.009948584046	2028.947401647762	233.4463500931443	3245.68086017548	2283.8191790754786	144.97023103847016	1672.1112488053845	1616.4579785636695	307.03013260835576	3487.555539647198	4404.629341436967	239.07935635232923	4616.767036769479	5343.443924764314	285.0227104765214	1401.6674542772807	1023.9263588412097	48.99986670356904	735.3503320279009	2433.322495407082	84.99999675779512	1589.577212441974	3188.353744219261	102.0000672857058	1082.7980056716574	2845.960885953322	115.61839670666461	3879.919996579756	3066.4458934747868	276.0474156512017	2051.165840314155	1370.8998697905715	114.97072742224202	2520.849928054364	3486.0660551534465	214.17598934848823	816.5200085735305	1665.9795877582774	726.3530807022935	1708.6229595896857	3072.830425953617	349.01578903529435	1402.0896647836594	2285.2621135138115	1886.9312323229294	3028.726128327524	3269.2753515026	229.99961738674352	2929.0851167143724	2224.2264744432564	187.77409868141783	5209.692159892071	3614.673162503559	218.48519581640068	1009.1524011178155	3118.7221225075177	134.5816119572955	1221.599371158955	9808.622044978902	441.5007861014572	135.0072870780225	1592.445825128538	13.467080270400514	654.3156636070867	2030.8112028455046	312.9504444548293	1150.3207160512877	4107.973808889691	213.02026921572673	1589.0172797757964	4355.4474595256415	276.8986508660902	368.8469013942168	379.987090308386	22.002764542789787	2046.6450417250037	1936.8070097387595	281.5143169489682	2485.8518543953937	2649.4458505785874	133.45695564808616	3609.2413811464544	1592.8607826182651	1143.115988491731	1804.2402980143304	5117.442135510954	661.3147154751921	1387.8999752092707	2642.794081287394	528.0601547299227	348.0207930541826	689.9900598166533	27.014018843951938	3256.1441808239606	3987.8620739696157	161.00271299370118	3429.4243128891653	2860.5847947279035	419.1984284208112	2018.2385058176492	1166.4474231971326	194.60174179299534	2099.2763189634093	1976.0916967622168	260.9374627664964	2684.7464490527755	4426.525676088037	146.07452888656042	1554.4519217813363	2182.9461745603076	203.9903766726934	3647.441657139917	3005.918362279873	312.9137082046076	2568.5968005355976	2432.7304070496293	251.29535129758477	4578.8880024749205	2029.4331637117532	240.23251341743398	1982.0176722847505	1225.9109864828035	136.00014324581107	7725.717229152487	2892.71281281729	212.130468082209	1055.2160433917754	2041.8445274158425	1293.6150395637144	3378.0668076974	646.6215756765133	5147.200800876788	3620.2534647538905	3103.277068458775	4139.268231123326	2817.217130952593	6625.780858048058	3774.16506337264	899.2790007480701	35.99997787452375	599.0924080712003	37.86239233181536	840.8666593397846	27.552519758583013	626.0993896958	14.999999999997478	948.576875438654	43.994206677300994	914.254055156521	54.00071654765534	15.247798538462972	41.000902087798735	22.000000068213865	53.99999734673929	26.9663902800058	45.99999947027122	26.5549955181597	17.999986202938757	26.033556902111343	17.0	18.0380854569854	22.00395536365952
Acidimicrobium		24.17754054439601																																																																																																																																														11.0																																																																																																				23.00000000000056				18.079392266783834																						
Acutalibacter	25.259009111196843	29.78853623691065		30.499251056762088										19.101456515846326																														17.47201911135773																		18.953640563110557			20.361425031861888						15.975158587173146			19.453769099174963																																																56.33356970982236												27.12260591052361			15.00585530849449																								25.29844413574512			24.10426328282288			14.09501408016865																											25.367791712972743			19.47118998875164						31.768589216509007																																					21.75133009701645						33.00715437519933				15.423196003477411		18.53623294671267																		
Adlercreutzia	21.195233233108244	64.27728256199785	32.6145110225102	22.307583190121104		27.66680889182433	14.123362839992092	30.999999999985697		23.00133057293925	83.66442302014819	20.9407831519817	17.031335382187574	94.96739034009649	21.9999993798611	20.25011789421482	35.26411409479903	27.000002855465837	28.04027831015343	30.019108011185992	22.037945029276976		38.84122857266698	22.662283186788944		37.34733192969864	18.004754973628884	26.00941254454939	59.12469805114378	18.00000000000578	23.00215692346458	26.03718944782461	23.99999990174718		27.601077700208744	17.196634936801708	11.0	42.68628150282471	21.0	19.024849334781116	32.71015530279458	21.00896094280476	16.017002865897666	33.43695343083037	22.00958026957332					30.688953513141872		15.007873567183626	34.12751948512829			31.0	45.91963174286117		19.999999767067365	43.65165832529374		54.704050298628914	54.04459223146624		43.01245409609693	19.006997102194045		32.99998533924827	15.060751524367005	20.000000000000018	85.91513256214368			94.90505584663278	20.694998530019312		43.94314800011869	14.99997335949589		98.8776184550003	65.21195449380018		99.04177473400904	19.10954490863377		74.37045239437354			95.950919881967	16.009065736724676	14.110000492038669	149.8421780205522			143.97386874555914	10.05302283265108	12.000088844969488	209.706708402401	28.033575927556253	24.156381797407963	193.39454927716872	91.78242834664306		101.95887317628966	100.41120546952332	19.597391298031653	208.07220867529497	147.9579219205917		119.14407167839416			100.04421936498564			64.19808678915412	18.02351620810306	28.14453208047536	303.4094488550567	106.31886132839284	20.020761651678463	353.0986690279722	111.20549826106442		121.10842943868896	23.25361852102268		130.46636382980574		34.97292872073357	177.80352160235256			122.44813410224884		20.75875752162861	260.19471055344536		18.04506946536573	126.23150434505452		19.288409673828724	359.3470155893057	23.084421953794923		113.02754426984158	33.618834468877566	16.02350429765077	192.31438443800312	42.50342908292627		92.69575165446432	52.08804020276203	25.035787980424807	197.77090327474264	13.99426385050666	14.58115124843775	142.83642866463262		18.41409241750586	156.1238462452211		14.103511723180532	176.96304694811647	35.00520418241101		254.16027808767944	27.95122533597551		32.81102622770952			93.72362049594604	17.06051949766271		172.21102832100186	17.167489231872203		189.7067622399152	18.943757549082704		43.00706405190475			169.97431416267798	13.86568203044737	15.000667703066505	200.88064175274135			31.08922643122465	59.74695393865769		214.90492441844776	14.93641859604235		82.81163896411294	12.98148424670709		25.8549343835777			161.74530762553545		17.00141273266171	141.7441700750743	13.00926574270252		49.8634700038003	11.477750368641324		115.61350914862572	28.797447024971	13.660362558629387	298.90162060542434			116.10538366171542			172.97528445614066	13.0		67.10456782070796		39.86823134694674	306.2649701782488		15.97354493869195	201.76491824061333		53.28777866568018	317.270201390304	16.897306246616903	14.10182967292187	49.64576693373935		103.93276231908388		178.76421854922063	11.618216109520278	155.6021575924635	16.198718312606726	130.80658481535056	19.690821579734514	142.95672135681446		43.73031660625708		12.495029197188884		38.94812458024045		20.70116988798713		37.29283284539624		76.96599441465003	19.0373055304454	48.10472677608878	20.0	45.02302907622073	17.07193640433727	51.50847580331204	11.999999999913234	18.999999386172284	20.76121020723051	30.04952976718968	23.005153317768748	20.907771243459976
Agathobacter		13.54953040339148																																															11.529011677737405																																																																									14.522930250688091																																																																																																																																																				
Agathobaculum	60.710493494608805	172.81740185367383	26.50271672338551	153.29645967486158	60.96547117504602	30.40527529274373	62.08429620306259	72.81206177367719	13.800443253943463	81.8877693605147	174.25235561204622	25.80358427381206	54.66193617973968	229.75521489285006	27.330537331944218	73.79043051780177	125.65147093749046	25.04954049819803	124.31356745547909	155.17182108396705	35.23826828698363	102.34536669530344	110.76420051860303	25.467419962598303	66.14056238109195	56.579677720861		90.91106156842295	165.3992990440233	21.513650623577405	77.96305050628403	113.94852523202911	46.0934954552271	31.05574241897197	109.02531861137908	25.60724701582454	27.483641962425363	78.45076785144441	13.147471189825431	60.757954837001165	114.82341549969404	22.502940766545937	69.70719831038139	155.8945078672025	25.07837574391629		56.39045725619246		305.0696111580072	287.1384644457477	15.06365177942174	70.94423633128642	64.40920765114772	32.219713821646835	25.719012375818664	106.7165017486754	42.76113364271596	11.25709168320548	57.54024053490102	39.9865548208834	69.31377118467593	265.5336430664299	60.20906180666783	64.70739699540368	259.84530005386335	63.62417475435827	83.84379349977067	68.90262424212206	49.38872096889867	80.95241131118125	372.52146457590766	105.23927616958991	34.71796511681503	111.526820751444	15.954886686756916		56.10056328556833		11.44102874040637	71.04144724709373	25.01556649189414	34.93499122810525	82.51343283840173	39.91827428440996	26.734686016050347	60.61623034628645	17.814430642621755	44.83625946587567	131.17167487060388	45.062575463022135		212.318617522146	33.26718234132328		373.60388735495866	57.5194606468902		154.42105983967957	45.993176947254966	14.367492531473015	175.06743090179302	30.90679395652404		68.88035012486085	15.163999914071924	19.499061878108463	119.94575106290084	39.28747464210668		86.66040872267322	29.17305270575438	21.001604169484203	166.7501977331372	78.86449945680906		93.13935273563555	36.52332053983287		204.15080402161442	45.14253420444686		450.33467478927724	48.44379955788187		44.03775423181787	20.27801177770064		134.7783523626668	28.97015453837817	12.37708602869104	156.71712055158466	40.07372257298641	37.221274007684784	181.21735094385448	40.65440715167159		319.2620873538748	55.4495980864552		169.88114351130696	36.27564470136715		551.488556217232	75.41457201909739		133.60606096843077	28.138795796564978		123.97909045271383	24.80346519212495		111.04912169133137	44.091393660984686		139.3389725831868	39.875777586054674		89.97903005093335	24.10924961685433		165.20211550832985	33.64530887408823	10.19195361183102	181.40546033232314	17.410648583679023	23.63653655076786	476.88331627062325	93.38271894062788		60.241994410715634			102.66492294917816	38.34765249332816	22.00000310356921	154.0818310994013	33.470977017066794		128.57479256866506	50.47256617658896		33.777282708297875			191.63615444719667	51.71846820401653		212.963318884317	23.326452096064266	12.69783344315198	70.15220578759286	44.68371309625604		216.79845020943438	13.552536651124315	17.94057912486796	149.7686164089252	45.28586997711139		33.67369055751874			206.78906771569146	27.325913411433604		76.44284764389674	40.27716622932888		43.86287278586123	41.69675824480141		71.52748763067791	29.245580183749546		77.55648041615683	35.00227583795548	12.046998949089357	81.76686097213812	33.745890910864	42.664352703144	102.32894636500728	79.41377919777234	33.960110510470656	99.13620877545978	58.437479254921634		121.34458657283186	32.08390818496345		66.21838678850966	14.054952420322673		180.51620156676896	40.19815703203042	37.93202775898569	106.21373261922244	45.05823387754149	150.01806688274752	25.850016941270283	244.01038068598803	13.531237655408855	159.6123202108182	29.944383890016272	133.82167571591037		242.25156532337792	32.62679418972462	62.353214601270594	51.39549199674673	49.96767528047449	12.918067227342974	79.4672056228314	36.29233414429217	42.25051768879367		64.8025876762188	29.34301881598545	110.43609808701848	64.57450573230086	61.56926594428622	28.19387044597156	58.14184731942257	28.7831652808325	59.12084994406733	30.928871054732987	42.21336584420342	99.1276213022392	51.25218601874323	49.755824549428674	49.979143560941225
Akkermansia														25.99409148459991							13.0		10.0						11.0																								13.0																																																																																																																																																																																																																						10.0	15.0	11.0	
