species	BC_01_PL1_both	BC_01_PL2_both	BC_01_PL3_both	BC_02_PL1_both	BC_02_PL2_both	BC_02_PL3_both	BC_03_PL1_both	BC_03_PL2_both	BC_03_PL3_both	BC_04_PL1_both	BC_04_PL2_both	BC_04_PL3_both	BC_05_PL1_both	BC_05_PL2_both	BC_05_PL3_both	BC_06_PL1_both	BC_06_PL2_both	BC_06_PL3_both	BC_07_PL1_both	BC_07_PL2_both	BC_07_PL3_both	BC_08_PL1_both	BC_08_PL2_both	BC_08_PL3_both	BC_09_PL1_both	BC_09_PL2_both	BC_09_PL3_both	BC_10_PL1_both	BC_10_PL2_both	BC_10_PL3_both	BC_11_PL1_both	BC_11_PL2_both	BC_11_PL3_both	BC_12_PL1_both	BC_12_PL2_both	BC_12_PL3_both	BC_13_PL1_both	BC_13_PL2_both	BC_13_PL3_both	BC_14_PL1_both	BC_14_PL2_both	BC_14_PL3_both	BC_15_PL1_both	BC_15_PL2_both	BC_15_PL3_both	BC_16_PL1_both	BC_16_PL2_both	BC_16_PL3_both	BC_17_PL1_both	BC_17_PL2_both	BC_17_PL3_both	BC_18_PL1_both	BC_18_PL2_both	BC_18_PL3_both	BC_19_PL1_both	BC_19_PL2_both	BC_19_PL3_both	BC_20_PL1_both	BC_20_PL2_both	BC_20_PL3_both	BC_21_PL1_both	BC_21_PL2_both	BC_21_PL3_both	BC_22_PL1_both	BC_22_PL2_both	BC_22_PL3_both	BC_23_PL1_both	BC_23_PL2_both	BC_23_PL3_both	BC_24_PL1_both	BC_24_PL2_both	BC_24_PL3_both	BC_25_PL1_both	BC_25_PL2_both	BC_25_PL3_both	BC_26_PL1_both	BC_26_PL2_both	BC_26_PL3_both	BC_27_PL1_both	BC_27_PL2_both	BC_27_PL3_both	BC_28_PL1_both	BC_28_PL2_both	BC_28_PL3_both	BC_29_PL1_both	BC_29_PL2_both	BC_29_PL3_both	BC_30_PL1_both	BC_30_PL2_both	BC_30_PL3_both	BC_31_PL1_both	BC_31_PL2_both	BC_31_PL3_both	BC_32_PL1_both	BC_32_PL2_both	BC_32_PL3_both	BC_33_PL1_both	BC_33_PL2_both	BC_33_PL3_both	BC_34_PL1_both	BC_34_PL2_both	BC_34_PL3_both	BC_35_PL1_both	BC_35_PL2_both	BC_35_PL3_both	BC_36_PL1_both	BC_36_PL2_both	BC_36_PL3_both	BC_37_PL1_both	BC_37_PL2_both	BC_37_PL3_both	BC_38_PL1_both	BC_38_PL2_both	BC_38_PL3_both	BC_39_PL1_both	BC_39_PL2_both	BC_39_PL3_both	BC_40_PL1_both	BC_40_PL2_both	BC_40_PL3_both	BC_41_PL1_both	BC_41_PL2_both	BC_41_PL3_both	BC_42_PL1_both	BC_42_PL2_both	BC_42_PL3_both	BC_43_PL1_both	BC_43_PL2_both	BC_43_PL3_both	BC_44_PL1_both	BC_44_PL2_both	BC_44_PL3_both	BC_45_PL1_both	BC_45_PL2_both	BC_45_PL3_both	BC_46_PL1_both	BC_46_PL2_both	BC_46_PL3_both	BC_47_PL1_both	BC_47_PL2_both	BC_47_PL3_both	BC_48_PL1_both	BC_48_PL2_both	BC_48_PL3_both	BC_49_PL1_both	BC_49_PL2_both	BC_49_PL3_both	BC_50_PL1_both	BC_50_PL2_both	BC_50_PL3_both	BC_51_PL1_both	BC_51_PL2_both	BC_51_PL3_both	BC_52_PL1_both	BC_52_PL2_both	BC_52_PL3_both	BC_53_PL1_both	BC_53_PL2_both	BC_53_PL3_both	BC_54_PL1_both	BC_54_PL2_both	BC_54_PL3_both	BC_55_PL1_both	BC_55_PL2_both	BC_55_PL3_both	BC_56_PL1_both	BC_56_PL2_both	BC_56_PL3_both	BC_57_PL1_both	BC_57_PL2_both	BC_57_PL3_both	BC_58_PL1_both	BC_58_PL2_both	BC_58_PL3_both	BC_59_PL1_both	BC_59_PL2_both	BC_59_PL3_both	BC_60_PL1_both	BC_60_PL2_both	BC_60_PL3_both	BC_61_PL1_both	BC_61_PL2_both	BC_61_PL3_both	BC_62_PL1_both	BC_62_PL2_both	BC_62_PL3_both	BC_63_PL1_both	BC_63_PL2_both	BC_63_PL3_both	BC_64_PL1_both	BC_64_PL2_both	BC_64_PL3_both	BC_65_PL1_both	BC_65_PL2_both	BC_65_PL3_both	BC_66_PL1_both	BC_66_PL2_both	BC_66_PL3_both	BC_67_PL1_both	BC_67_PL2_both	BC_67_PL3_both	BC_68_PL1_both	BC_68_PL2_both	BC_68_PL3_both	BC_69_PL1_both	BC_69_PL2_both	BC_69_PL3_both	BC_70_PL1_both	BC_70_PL2_both	BC_70_PL3_both	BC_71_PL1_both	BC_71_PL2_both	BC_71_PL3_both	BC_72_PL1_both	BC_72_PL2_both	BC_72_PL3_both	BC_73_PL1_both	BC_73_PL2_both	BC_73_PL3_both	BC_74_PL1_both	BC_74_PL2_both	BC_74_PL3_both	BC_75_PL1_both	BC_75_PL2_both	BC_75_PL3_both	BC_76_PL1_both	BC_76_PL2_both	BC_76_PL3_both	BC_77_PL1_both	BC_77_PL2_both	BC_77_PL3_both	BC_78_PL1_both	BC_78_PL2_both	BC_78_PL3_both	BC_79_PL1_both	BC_79_PL2_both	BC_80_PL1_both	BC_80_PL2_both	BC_81_PL1_both	BC_81_PL2_both	BC_82_PL1_both	BC_82_PL2_both	BC_83_PL1_both	BC_83_PL2_both	BC_84_PL1_both	BC_84_PL2_both	BC_85_PL1_both	BC_85_PL2_both	BC_86_PL1_both	BC_86_PL2_both	BC_87_PL1_both	BC_87_PL2_both	BC_88_PL1_both	BC_88_PL2_both	BC_89_PL1_both	BC_89_PL2_both	BC_90_PL1_both	BC_90_PL2_both	BC_91_PL1_both	BC_91_PL2_both	BC_92_PL1_both	BC_92_PL2_both	BC_93_PL1_both	BC_93_PL2_both	BC_94_PL1_both	BC_94_PL2_both	BC_95_PL1_both	BC_95_PL2_both	BC_96_PL1_both	BC_96_PL2_both
Acetanaerobacterium elongatum																																																																																																																																																																																																																							10.921597183006735																									10.093708677212556																														
Acetivibrio ethanolgignens		21.70613927461597		26.32712102382										15.809150221041156						14.086778099615351																													11.715230391153254	15.151973537320576																																																															14.24058207528008						10.198277661477734			11.14005768710712																					15.911486852771494																																																																																																	16.5836649697011				10.896607430620923												13.036937857608269		11.313174389503793												
Acholeplasma axanthum																																																																																																			14.0																																																																					37.99996518518832																																																			14.0																																																			
Acholeplasma laidlawii	16.001752903094356			13.058044872935604																																													25.20170063077667																																																																																																																																																																																																											20.111112499004957																		
Acidaminococcus fermentans	39.00000000004563	105.06834900268208	13.000318701091295	36.291808597989686	14.000000424688054	14.9997476919547	25.07392472072924	45.1015755291193		28.466410632954585	110.10461164088328		21.00996183069521	148.87678951808795	11.88747948593563	18.000053221471596	76.971298943575	14.999999999999805	55.19891319301493	71.01821940794737	21.001391579875445	46.0689016394188	89.91057680962402	11.102462733324469	32.99107107648548	47.00672726067571		85.03436013458702	121.92073610259608	15.000000026057611	47.985452565626304	67.00000002807109		27.99999987933068	69.00228428301989		13.493121708026832	56.29349491312582	12.000109753781013	35.962381353895246	60.00808481446014	11.000580465841248	42.9884859323996	74.86095769893168	15.999999999975588		19.061134923174496		50.08362351091893	54.51663214219308		48.06705690591893	50.92243875556857		25.46242928190612	46.02974308126517	473.4332746393824	10.003745907120615	31.0	236.5578871254244	23.633015032156507	138.75097646449464	880.6272827200453	32.94073895039459	112.99698040974717	201.47643036541035	51.23549819894177	49.97409879155927	169.60889232959252	64.60754518697887	215.85422032863625	330.75121878685167	32.991422202991174	3103.0315368099623	79.9642460284238		1391.4414977923648	22.0	29.99999997746025	3324.9534890941145	84.99999951170648	35.999990302921375	2222.575463888028	223.760656256224	47.000000000026816	1843.100850359417	95.8024536959119	38.98713628457638	2766.892937099766	143.0683649555034	2037.278921738608	1615.1490876660682	137.5969449128246	1529.2968574053807	2206.917554587916	144.63646695297265	1222.8900633891576	1396.6893493586754	133.37095177599838	1815.535069994216	2976.3303325626666	216.9290796209732	1029.5719090169785	1678.1672439748295	481.7983546996505	2186.1067249858224	2875.478978172209	303.13653986989	3490.5666129064857	1914.8990695848763	198.104896215162	3053.218422212844	2157.405361693666	126.60957629867146	1600.7760778907646	1532.4125542971958	274.434426846089	3304.461626796875	4195.3073166899	209.6374017735445	4398.575136981531	5062.866541468986	236.98237856967523	1303.1792840699936	974.2705795877816	48.99986670356904	640.2566600122991	2347.751763792284	72.55072535238045	1396.268726082482	3088.464902003738	80.64730951718714	887.9894630373977	2722.8961416362213	91.78533286201264	3584.826388620428	2930.0527417960134	232.67112337715173	1814.817631907788	1298.5333985932807	96.02036185893792	2248.7510887011786	3319.1658517373808	185.87923018792165	701.9467027608704	1605.0922386634	667.3694705829456	1467.185218753628	2952.4163507543094	319.9354572778048	1212.7196334557966	2192.8795351403824	1775.3660739466063	2639.3178676813263	3126.204524221572	192.83372136301048	2732.4494495220733	2130.140400159624	162.61221880792957	4764.054649675096	3474.157040155398	194.9867449117677	720.9412796831491	2978.6010584544406	119.54717374994452	910.0610539741848	9440.73676187858	399.184424005514	98.72815236753826	1526.7992415505444	13.467080270400514	556.7402887514361	1918.2993524818512	270.00479311670153	1036.1480650231165	3934.134374432806	171.28122477596577	1418.5473561823162	4161.832407720481	230.8150410862729	315.4133159374945	357.70088766339177	22.002764542789787	1747.975739181132	1830.0236322119288	226.1588978458858	2176.45683745346	2503.024491411465	109.87544530020595	2920.7345585483145	1518.197731700539	982.1184096588051	1508.4389704953649	4885.5575929605375	574.0940063571298	1113.658308094143	2532.2931998862505	468.7536322026455	310.1358980179345	658.512402565599	27.014018843951938	2946.339618803384	3794.483361957709	140.45581806467374	3036.631158837962	2750.037207207228	375.3119399592326	1686.9762924855947	1119.9241739092984	170.90436464527565	1743.7045720639808	1884.9800913964132	213.7407332879484	2211.368972761531	4207.004156699164	130.07454217391893	1294.389488988852	2107.9310259192093	171.11524303035802	3202.64405738866	2926.8329759302114	255.78491017864013	2057.3954585945808	2329.8874243095497	204.3277893842272	4281.495707409578	1950.2853184471655	204.99285401504216	1790.2665723198122	1179.7276317704836	116.04377751352013	6602.68310533928	2797.633413919232	179.09143674410836	906.1766573258802	1943.5317566584308	1056.752138980231	3226.6481373090783	506.10640612082153	4913.911161140634	3070.393127525132	2954.795186118124	3628.733937017267	2698.6501605302287	5792.456913832857	3599.636057666327	735.0766794694933	35.99997787452375	446.83547618104063	37.86239233181536	683.0064374605593	27.552519758583013	536.9923057040334	14.999999999997478	815.4448628576943	43.994206677300994	774.046850497974	54.00071654765534	15.247798538462972	41.000902087798735	22.000000068213865	53.99999734673929	26.9663902800058	45.99999947027122	26.5549955181597	17.999986202938757	26.033556902111343	17.0	18.0380854569854	22.00395536365952
Acidaminococcus intestini		13.142026991829498		12.857745109416344				14.898547900958953			14.831981669107954			21.15029809802651			11.110470739316536																		15.996863239148794																						26.61707345604273			28.43091695434268		10.26318639075354	69.13606213578083			32.49045957149532			34.86674792132796		16.19062913047731	53.42854531459292		118.84091899951764	14.1419956862523		37.356864940585744			92.0428042033868	16.000000488037585		87.16219043366472	30.91846840788521		89.20611233123786	18.984439191188656		148.6386509672157	24.667044410640774	276.9684085617159	100.2785336591673	23.280852872646086	222.4650086201258	140.72488932262164	27.396318715809144	159.15370074087494	66.61632812470165	27.44075514113196	199.24006882532305	146.86577983416566	32.118315447652805	103.64334360035367	80.17942061119187	63.10713118019834	159.127376633968	161.57117906923477	40.35523423981545	199.4433356775602	114.04833206288566	35.34145387798229	192.4624379626364	126.413817381813	18.360654739798715	71.33517091462011	84.04542426647366	32.59570576226676	183.09391285032336	209.3220247470664	29.44195457878473	218.1918997879484	280.57738329532845	48.0403319068462	98.4881702072872	49.655779253428015		95.09367201560174	85.57073161479805	12.44927140541466	193.3084863594919	99.88884221552269	21.352757768518657	194.8085426342597	123.0647443171007	23.83306384465198	295.0936079593281	136.3931516787733	43.376292274049945	236.3482084063673	72.36647119729092	18.950365563304107	272.09883935318567	166.9002034160658	28.29675916056657	114.57330581266008	60.88734909487744	58.98361011934789	241.4377408360576	120.41407519930767	29.080331757489542	189.37003132786276	92.38257837342924	111.565158376323	389.4082606461974	143.0708272810284	37.16589602373305	196.63566719229897	94.08607428363264	25.16187987348827	445.6375102169753	140.51612234816082	23.49845090463299	288.2111214346665	140.12106405307694	15.034438207350984	311.53831718477	367.8852831003218	42.31636209594317	36.27913471048424	65.64658357799372		97.57537485565064	112.5118503636533	42.94565133812778	114.17265102817116	173.83943445688476	41.73904443976096	170.46992359348022	193.61505180516093	46.08360977981725	53.43358545672229	22.28620264499418		298.66930254387165	106.7833775268306	55.3554191030824	309.39501694193353	146.4213591671222	23.5815103478802	688.50682259814	74.66305091772631	160.99757883292585	295.8013275189655	231.8845425504168	87.22070911806226	274.24166711512765	110.50088140114369	59.30652252727716	37.88489503624812	31.4776572510543		309.80456202057684	193.3787120119068	20.54689492902745	392.793154051203	110.54758752067536	43.88648846157862	331.26221333205456	46.523249287834346	23.69737714771968	355.5717468994284	91.11160536580356	47.19672947854801	473.3774762912446	219.52151938887215	15.99998671264148	260.06243279248423	75.01514864109801	32.87513364233539	444.79759975125694	79.08538634966158	57.12879802596744	511.201341941017	102.8429827400798	46.96756191335756	297.3922950653426	79.14784526458769	35.23965940239182	191.7510999649382	46.183354712319975	19.956365732290937	1123.0341238132066	95.07939889805776	33.039031338100656	149.0393860658953	98.31277075741178	236.86290058348337	151.41867038832166	140.5151695556918	233.28963973615345	549.8603372287586	148.4818823406506	510.5342941060583	118.56697042236428	833.3239442152003	174.52900570631303	164.2023212785767		152.25693189015968		157.86022187922538		89.10708399176663		133.13201258095984		140.2072046585469													
Acidimicrobium ferrooxidans		24.17754054439601																																																																																																																																														11.0																																																																																																				23.00000000000056				18.079392266783834																						
Acutalibacter muris	25.259009111196843	29.78853623691065		30.499251056762088										19.101456515846326																														17.47201911135773																		18.953640563110557			20.361425031861888						15.975158587173146			19.453769099174963																																																56.33356970982236												27.12260591052361			15.00585530849449																								25.29844413574512			24.10426328282288			14.09501408016865																											25.367791712972743			19.47118998875164						31.768589216509007																																					21.75133009701645						33.00715437519933				15.423196003477411		18.53623294671267																		
Adlercreutzia equolifaciens	21.195233233108244	64.27728256199785	32.6145110225102	22.307583190121104		27.66680889182433	14.123362839992092	30.999999999985697		23.00133057293925	83.66442302014819	20.9407831519817	17.031335382187574	94.96739034009649	21.9999993798611	20.25011789421482	35.26411409479903	27.000002855465837	28.04027831015343	30.019108011185992	22.037945029276976		38.84122857266698	22.662283186788944		37.34733192969864	18.004754973628884	26.00941254454939	59.12469805114378	18.00000000000578	23.00215692346458	26.03718944782461	23.99999990174718		27.601077700208744	17.196634936801708	11.0	42.68628150282471	21.0	19.024849334781116	32.71015530279458	21.00896094280476	16.017002865897666	33.43695343083037	22.00958026957332					30.688953513141872		15.007873567183626	34.12751948512829			31.0	45.91963174286117		19.999999767067365	43.65165832529374		54.704050298628914	54.04459223146624		43.01245409609693	19.006997102194045		32.99998533924827	15.060751524367005	20.000000000000018	85.91513256214368			94.90505584663278	20.694998530019312		43.94314800011869	14.99997335949589		98.8776184550003	65.21195449380018		99.04177473400904	19.10954490863377		74.37045239437354			95.950919881967	16.009065736724676	14.110000492038669	149.8421780205522			143.97386874555914	10.05302283265108	12.000088844969488	209.706708402401	28.033575927556253	24.156381797407963	193.39454927716872	91.78242834664306		101.95887317628966	100.41120546952332	19.597391298031653	208.07220867529497	147.9579219205917		119.14407167839416			100.04421936498564			64.19808678915412	18.02351620810306	28.14453208047536	303.4094488550567	106.31886132839284	20.020761651678463	353.0986690279722	111.20549826106442		121.10842943868896	23.25361852102268		130.46636382980574		34.97292872073357	177.80352160235256			122.44813410224884		20.75875752162861	260.19471055344536		18.04506946536573	126.23150434505452		19.288409673828724	359.3470155893057	23.084421953794923		113.02754426984158	33.618834468877566	16.02350429765077	192.31438443800312	42.50342908292627		92.69575165446432	52.08804020276203	25.035787980424807	197.77090327474264	13.99426385050666	14.58115124843775	142.83642866463262		18.41409241750586	156.1238462452211		14.103511723180532	176.96304694811647	35.00520418241101		254.16027808767944	27.95122533597551		32.81102622770952			93.72362049594604	17.06051949766271		172.21102832100186	17.167489231872203		189.7067622399152	18.943757549082704		43.00706405190475			169.97431416267798	13.86568203044737	15.000667703066505	200.88064175274135			31.08922643122465	59.74695393865769		214.90492441844776	14.93641859604235		82.81163896411294	12.98148424670709		25.8549343835777			161.74530762553545		17.00141273266171	141.7441700750743	13.00926574270252		49.8634700038003	11.477750368641324		115.61350914862572	28.797447024971	13.660362558629387	298.90162060542434			116.10538366171542			172.97528445614066	13.0		67.10456782070796		39.86823134694674	306.2649701782488		15.97354493869195	201.76491824061333		29.03486624459786	317.270201390304	16.897306246616903	14.10182967292187	49.64576693373935		103.93276231908388		178.76421854922063	11.618216109520278	155.6021575924635	16.198718312606726	130.80658481535056	19.690821579734514	142.95672135681446		43.73031660625708		12.495029197188884		38.94812458024045		20.70116988798713		37.29283284539624		76.96599441465003	19.0373055304454	48.10472677608878	20.0	45.02302907622073	17.07193640433727	51.50847580331204	11.999999999913234	18.999999386172284	20.76121020723051	30.04952976718968	23.005153317768748	20.907771243459976
Adlercreutzia muris																																																																																																																																																																																																																																								24.25291242108232																																						
