genus	family	order	class	phylum	superkingdom
Acetanaerobacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Acetivibrio	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Acholeplasma	Acholeplasmataceae	Acholeplasmatales	Mollicutes	Tenericutes	Bacteria
Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria
Acidimicrobium	Acidimicrobiaceae	Acidimicrobiales	Acidimicrobiia	Actinobacteria	Bacteria
Acutalibacter	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Adlercreutzia	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria
Agathobacter	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Agathobaculum	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Akkermansia	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
Alginatibacterium	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Allisonella	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria
Alterileibacterium	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria
Amedibacillus	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Aminiphilus	Synergistaceae	Synergistales	Synergistia	Synergistetes	Bacteria
Aminipila	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria
Anaerobutyricum	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Anaerocolumna	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Anaeromassilibacillus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Anaerosporomusa	Sporomusaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Anaerostipes	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Anaerotaenia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Anaerotignum	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Anaerotruncus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Anaerovorax	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria
Annwoodia	Thiobacillaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Asaccharobacter	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria
Atlantibacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bariatricus	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Barnesiella	Barnesiellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Beduini	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	Bacteria
Blautia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Breznakia	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Butyricicoccus	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Butyricimonas	Odoribacteraceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Butyrivibrio	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
