genus,n_sig_padj0.05,min_padj,max_abs_stat
Bifidobacterium,3,8.915974157286745e-6,5.304696789462195
Prevotella,3,0.00304710225994907,3.810823472466235
Acidaminococcus,3,0.00591953391703834,3.8469721768275864
Sutterella,3,0.016847232009723,3.765700845684753
Ruminococcus,2,6.973005846746268e-11,7.20597932469996
Faecalibacterium,2,1.2756994530782112e-6,5.714581874530682
Coprococcus,2,3.25035472349525e-6,5.381490267575827
Butyricimonas,2,4.075429891985255e-5,4.881280774966002
Hydrogenoanaerobacterium,2,1.0830117387532532e-4,4.72035159050026
Alistipes,2,4.7135218217895326e-4,4.310976425210993
Phocaeicola,2,0.00127559189600234,4.387012497988254
Dorea,2,0.00147316223351561,4.196596047098813
Mogibacterium,2,0.00261337677106707,6.27157280437765
Mediterraneibacter,2,0.01010520802817136,3.468854124908547
Megasphaera,2,0.02656579927030969,3.355223478484699
Catenibacterium,1,1.458543733468009e-6,5.664646842251569
Citrobacter,1,2.172216025995999e-6,5.5098968828195645
Faecalitalea,1,4.075429891985255e-5,4.899713129521847
Blautia,1,1.0830117387532532e-4,4.7785355863783865
Parabacteroides,1,0.0025262206074073,3.9133220930719586
Enterorhabdus,1,0.00273670294365896,3.8503247026884817
Erysipelatoclostridium,1,0.00316400675849834,4.227673672702674
Pseudoflavonifractor,1,0.00443720969729676,3.917046131798081
Clostridium,1,0.00457680647991058,4.073909922016349
Ihubacter,1,0.00594618279680539,3.7452874334260384
Hungateiclostridium,1,0.00628657242875077,3.6581897956028793
Faecalicatena,1,0.00896396871490388,3.3818346505034578
Subdoligranulum,1,0.016847232009723,3.597816683715074
Adlercreutzia,1,0.02000356322909852,3.2371943841588933
Eggerthella,1,0.02033908842884321,3.417696149462478
Raoultibacter,1,0.02033908842884321,3.3616358156149873
Senegalimassilia,1,0.02550521576845637,3.2354447018423618
Sporobacter,1,0.02805274373626716,3.070451787861704
Collinsella,1,0.0284516892052392,3.0308434916819165
Bacteroides,1,0.03164597843694397,3.1996570318920896
Hespellia,1,0.04264084931972579,2.771463994402756
Mitsuokella,1,0.04264084931972579,2.7531697965740944
Duodenibacillus,1,0.04264084931972579,2.7463675587579863
Massilimicrobiota,1,0.04264084931972579,2.7428122746941317
Faecalimonas,1,0.04414617906495452,2.6957395500218846
