comparison,medium,time,agitation,compound,genus,log2FoldChange,stat,padj,sig_padj0.05,sig_padj0.01
GAM_t0_Static_CGA,GAM,0,Static,CGA,Subdoligranulum,-5.903707227814598,-3.597816683715074,0.016847232009723,TRUE,FALSE
GAM_t0_Static_CGA,GAM,0,Static,CGA,Sutterella,-0.8588394756264524,-3.765700845684753,0.016847232009723,TRUE,FALSE
GAM_t0_Static_CGA,GAM,0,Static,CGA,Eggerthella,-5.848110029979553,-3.417696149462478,0.02033908842884321,TRUE,FALSE
GAM_t0_Static_CGA,GAM,0,Static,CGA,Raoultibacter,-5.756536966440589,-3.3616358156149873,0.02033908842884321,TRUE,FALSE
GAM_t0_Static_CGA,GAM,0,Static,CGA,Senegalimassilia,-5.7955022709158035,-3.2354447018423618,0.02550521576845637,TRUE,FALSE
GAM_t0_Static_CGA,GAM,0,Static,CGA,Butyricimonas,-5.529315261125369,-3.175095316449035,0.02621277579434961,TRUE,FALSE
GAM_t0_Static_CGA,GAM,0,Static,CGA,Hydrogenoanaerobacterium,2.0582885022317856,3.1176665307600744,0.02734333942734422,TRUE,FALSE
GAM_t0_Static_CGA,GAM,0,Static,CGA,Sporobacter,-5.453099806982988,-3.070451787861704,0.02805274373626716,TRUE,FALSE
GAM_t0_Static_CGA,GAM,0,Static,CGA,Collinsella,-1.3107249106594625,-3.0308434916819165,0.0284516892052392,TRUE,FALSE
GAM_t0_Static_CGA,GAM,0,Static,CGA,Megasphaera,-5.341507266341237,-2.9448565716908917,0.03392596249640801,TRUE,FALSE
GAM_t0_Static_CGA,GAM,0,Static,CGA,Phocaeicola,-0.5390176822702816,-2.8786306922231,0.038125094361914,TRUE,FALSE
GAM_t0_Static_CGA,GAM,0,Static,CGA,Duodenibacillus,-5.206403341375687,-2.7463675587579863,0.04264084931972579,TRUE,FALSE
GAM_t0_Static_CGA,GAM,0,Static,CGA,Hespellia,1.462408330222122,2.771463994402756,0.04264084931972579,TRUE,FALSE
GAM_t0_Static_CGA,GAM,0,Static,CGA,Massilimicrobiota,-5.143035717632808,-2.7428122746941317,0.04264084931972579,TRUE,FALSE
GAM_t0_Static_CGA,GAM,0,Static,CGA,Mitsuokella,-5.2308713578922665,-2.7531697965740944,0.04264084931972579,TRUE,FALSE
GAM_t0_Static_CGA,GAM,0,Static,CGA,Mogibacterium,-4.975424834745582,-2.5646630496540173,0.06777490333535935,FALSE,FALSE
