comparison,medium,time,agitation,compound,genus,log2FoldChange,stat,padj,sig_padj0.05,sig_padj0.01
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Collinsella,-1.5193467818643174,-3.757587793052216,0.01089400822680548,TRUE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Tyzzerella,-6.826159868909519,-3.8623716191421833,0.01089400822680548,TRUE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Gemmiger,0.9651648494685958,3.3194634733742645,0.03818068855040626,TRUE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Longibaculum,-1.4610435707132796,-2.269328996448274,0.5393311646633216,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Sutterella,-1.6010287331255084,-2.219657487629645,0.5393311646633216,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Mediterraneibacter,0.7050521407180506,2.0472918127084903,0.5733265605242748,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Paeniclostridium,-2.884016410443887,-1.9467297127036152,0.6549027725954383,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Anaerobutyricum,0.6444487899830165,1.7765936892868648,0.7008028766499662,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Escherichia,-1.101450194621897,-1.6869231450555224,0.7272189146561249,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Senegalimassilia,-5.157655894477004,-1.633781782492866,0.7642761303835331,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Anaerostipes,0.4667741085576062,1.417674201293538,0.7783368556940361,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Catenibacterium,-0.5200801703210916,-1.1554141498939092,0.7783368556940361,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Dorea,0.2795539154248423,0.92610058105802,0.7783368556940361,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Duodenibacillus,-3.9614745090333146,-1.008574119837352,0.7783368556940361,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Eggerthella,-4.633365066067334,-1.1819786722869827,0.7783368556940361,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Faecalibacterium,0.42138747820244143,1.0848397948174078,0.7783368556940361,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Hespellia,-1.7057433175922407,-0.9768716244524288,0.7783368556940361,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Holdemania,-3.6435624900533217,-0.9264246594292216,0.7783368556940361,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Megamonas,-1.6879040247947668,-1.4366220115792456,0.7783368556940361,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Parasutterella,-1.1955778513445856,-0.9683802374973436,0.7783368556940361,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Roseburia,0.2618147068367478,0.8745170082967048,0.7783368556940361,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Ruminococcus,-0.4659619381572984,-1.0867580979426037,0.7783368556940361,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Peptostreptococcus,-3.2350477862598996,-0.8207909481421437,0.7805104498861697,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Holdemanella,-0.416113476403491,-0.715760821744024,0.800951488740028,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Acidaminococcus,-0.45940570690978766,-0.6081545672214245,0.8502480126205212,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Anaeromassilibacillus,-0.25443576464804846,-0.5691084682881894,0.8502480126205212,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Bacteroides,-0.3155002457544146,-0.4812203967235893,0.889507810771887,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Lactobacillus,0.22942945692414715,0.4172802358539876,0.8986643084698629,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Eubacterium,0.07096789606452034,0.238994612885966,0.964787030718586,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Phocaeicola,-0.12541510451314933,-0.22696775773430225,0.964787030718586,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Alistipes,0.0126554823934553,0.02131753570551361,0.9972522525880853,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Coprococcus,-0.027990068939938922,-0.10558998980988234,0.9972522525880853,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Intestinibacter,-0.05923108705151164,-0.1282590774874162,0.9972522525880853,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Negativibacillus,0.00210915358292189,0.00344379748420392,0.9972522525880853,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Olsenella,-0.04247340469015787,-0.02221589405837918,0.9972522525880853,FALSE,FALSE
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,Parabacteroides,-0.01342453753597735,-0.02388761831288234,0.9972522525880853,FALSE,FALSE
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,Hespellia,-3.0575158500333743,-4.351869422674,0.00159278345398117,TRUE,TRUE
