genus	repBC91_Pl1	repBC92_Pl1	repBC93_Pl1	repBC01_Pl2	repBC02_Pl2	repBC03_Pl2
Acetanaerobacterium	0	0	0	0	0	0
Acetivibrio	0	0	0	21.70613927461597	0	0
Acholeplasma	0	0	0	0	0	0
Acidaminococcus	15.247798538462972	22.000000068213865	26.9663902800058	118.21037599451158	14.000000424688054	60.000123430078254
Acidimicrobium	0	0	0	24.17754054439601	0	0
Acutalibacter	0	0	0	29.78853623691065	0	0
Adlercreutzia	19.0373055304454	20	17.07193640433727	64.27728256199785	0	30.999999999985697
Agathobacter	0	0	0	13.54953040339148	0	0
Agathobaculum	64.57450573230086	28.19387044597156	28.7831652808325	172.81740185367383	60.96547117504602	72.81206177367719
Akkermansia	0	0	0	0	0	0
Alginatibacterium	0	0	0	0	0	0
Alistipes	67.9991323627283	216.90230309238416	251.1877356534019	646.1687138679908	160.8563100467156	291.276118295278
Allisonella	0	0	0	0	0	0
Alterileibacterium	0	0	0	0	0	0
Amedibacillus	0	0	0	0	0	0
Aminiphilus	0	0	10	145.95634193677805	0	17.175095587331015
Aminipila	0	0	0	0	0	0
Anaerobutyricum	1391.8239805373528	532.2566530372618	541.6387241933835	1243.065197126684	437.0572548963267	989.5457826346952
Anaerocolumna	0	0	0	18.0722458120218	0	0
Anaeromassilibacillus	98.53048144409428	84.19323210849463	59.95127752995843	262.0916451391745	63.96090533625843	220.4416308510245
Anaerosporomusa	0	0	0	16.015494536573396	0	0
Anaerostipes	1513.161830203038	655.5765174526325	690.1063123214777	1568.667046427013	591.9564348937001	1335.0536094287152
Anaerotaenia	0	0	0	15.90753659854492	0	0
Anaerotignum	0	0	0	0	0	0
Anaerotruncus	0	0	0	26.225167247801668	0	0
Anaerovorax	0	0	0	0	0	0
Annwoodia	0	0	0	0	0	0
Asaccharobacter	0	0	0	0	0	0
Atlantibacter	0	0	0	0	0	0
Bacillus	0	0	0	0	0	0
Bacteroides	124.83633520904613	762.8669407114462	840.8091074309127	2379.1664038983786	691.4750485735395	1314.7814210057093
Bariatricus	161.84737104848932	55.56756354475887	66.88444434372937	120.23233481695992	79.1545573538789	166.06838558658328
Barnesiella	31.000000000000355	73.97015070943176	91.99995481240406	305.3175637171426	84.00027025821895	137.37214895159747
Beduini	0	0	0	0	0	0
Bifidobacterium	18.00000910213476	26.000369243766773	88.7213839920893	362.9529634387699	98.497589875647	136.67569157877
Blautia	6365.485526196989	2719.7047593246184	3356.439936630905	6991.072533642976	2393.7996609709317	5712.661274389697
Breznakia	0	0	0	0	0	0
Butyricicoccus	88.33128046980626	71.81796120912894	102.20801208884616	288.96207058840173	110.7518727670616	262.3365487344901
Butyricimonas	0	0	0	34.0001789949449	0	0
Butyrivibrio	10.30108849769046	0	0	42.60359555922435	0	13.958456896431972
Caldicoprobacter	0	0	0	47.224062799778565	0	0
Caproiciproducens	18.20893279021531	31.66987194045353	12.6292371712733	49.087938050275305	0	31.253117300543167
Casaltella	0	0	0	0	0	0
Catenibacterium	288.42623116883595	605.1774761098688	411.7262085928337	1967.695761443614	689.0505626520127	903.9582683696962
Cellulosilyticum	0	0	0	0	0	0
Christensenella	68.26208840591262	56.00190119078121	46.99999789470022	156.08915192485293	56.99999999996592	131.06076011263897
Citrobacter	0	0	0	0	0	0
Clostridioides	18.091295245122986	0	0	12.468584022054737	0	10.76356547649142
Clostridium	106.20027285487656	155.6245805056369	145.28695092792827	950.9108874994096	225.717286754672	290.08830937832
Colibacter	0	0	0	0	0	0
Colidextribacter	24.043234317300897	15.57687630152042	0	30.528819693756244	14.3005814637172	17.759694775816605
Collinsella	121.27431063514494	85.01485862932631	149.96496516447664	817.0338890438187	400.5889384928994	504.4398561325064
Coprobacter	0	0	0	0	0	0
Coprococcus	708.2129511782355	477.4000661184021	455.2503730093903	1369.507122828144	476.2538840348865	1114.990225250687
Corynebacterium	0	0	0	0	0	0
Cuneatibacter	20.389494198438648	27.263244485572688	30.85858134113712	63.76131796558657	28.584263931019063	55.08243635636291
Dehalobacter	0	0	0	0	0	0
Desulfitispora	0	0	0	0	0	0
Desulfothermobacter	0	0	0	0	0	0
Desulfovibrio	0	0	0	0	0	0
Dialister	316.92185974657355	294.98551041481016	359.00046092946116	1476.1547628057183	339.08362669654593	659.2867061080252
