genus	repBC28_Pl2	repBC29_Pl2	repBC30_Pl2	repBC34_Pl2	repBC35_Pl2	repBC36_Pl2
Acetanaerobacterium	0	0	0	0	0	0
Acetivibrio	0	0	0	0	0	0
Acholeplasma	0	0	0	0	0	0
Acidaminococcus	2309.737654321693	1932.306962690655	2915.531588066982	3123.196112396832	1758.3466645860217	3037.0501572414437
Acidimicrobium	0	0	0	0	0	0
Acutalibacter	0	0	0	0	0	0
Adlercreutzia	99.04177473400904	74.37045239437354	95.950919881967	193.39454927716872	101.95887317628966	208.07220867529497
Agathobacter	0	0	0	0	0	0
Agathobaculum	82.51343283840173	60.61623034628645	131.17167487060388	175.06743090179302	68.88035012486085	119.94575106290084
Akkermansia	0	0	0	0	0	0
Alginatibacterium	0	0	0	0	0	0
Alistipes	175.0076968204774	127.3036508534838	231.98619452834316	416.10253917441025	276.62376362699615	419.99756464333274
Allisonella	221.85981313431745	160.3105748469554	235.85171332792015	280.2593234018428	190.4226771190052	266.6059364642663
Alterileibacterium	0	0	0	0	0	0
Amedibacillus	0	0	0	0	0	0
Aminiphilus	0	0	0	13.000000000299565	0	0
Aminipila	0	0	0	0	0	0
Anaerobutyricum	376.8698770873349	259.54470750231604	433.5317715987001	410.6444749087808	163.88964013441603	378.4219255785195
Anaerocolumna	0	0	12.556498776670622	0	0	11.082832308866376
Anaeromassilibacillus	49.792965253146455	49.72230941530891	67.16537646190524	89.52948008740513	37.858500479913424	71.8157733709867
Anaerosporomusa	0	0	0	0	0	0
Anaerostipes	1222.6744972926365	1054.8248738530503	1568.0840101510214	1507.9645807073532	747.169271620044	1490.2660504299802
Anaerotaenia	0	0	0	0	0	15.504612686556856
Anaerotignum	0	0	0	0	0	0
Anaerotruncus	13.885361504561889	0	11.92736177859576	25.02159883957437	0	25.3549529321095
Anaerovorax	0	0	0	0	0	0
Annwoodia	0	0	0	0	0	0
Asaccharobacter	0	0	0	0	0	0
Atlantibacter	0	0	0	0	0	0
Bacillus	0	0	0	0	0	0
Bacteroides	1979.6286747478584	1457.547673052264	2671.2715456080987	2792.238305997627	1573.8818865946105	2980.0641370803255
Bariatricus	290.8480015634207	289.5562936742835	452.1055664671584	192.2347779175033	165.3613506194196	372.88456821748986
Barnesiella	46.001254707307695	31.2692046481489	61.1530745649514	69.01070287569124	45.45631653261798	48.00051301166194
Beduini	0	0	0	0	0	0
Bifidobacterium	66.26643780221858	231.34213340806588	59.402751087139656	175.52273373022405	156.84688104813705	49.99965953929653
Blautia	3668.193268460366	3212.983947831928	4843.291315124686	4954.520347964448	2716.205053165921	4845.766800671886
Breznakia	0	0	0	0	0	0
Butyricicoccus	186.65883436742763	131.65523783002126	225.66789527666137	284.7333402559027	146.17668743302153	252.5303491404995
Butyricimonas	0	0	0	20	20.99999988591454	49.00040388437834
Butyrivibrio	0	0	12.117190650039529	0	0	13.63443456219313
Caldicoprobacter	0	0	0	0	0	0
Caproiciproducens	0	0	12.196977778398844	14.022445799655353	0	0
Casaltella	0	0	13.371784923291322	0	16.894345334329188	0
Catenibacterium	362.6482339453266	287.0192976629171	269.3239445259924	298.04753488384483	165.99999707859834	298.3307692253499
Cellulosilyticum	0	0	0	0	0	0
Christensenella	125.4035965325498	96.96078091536894	143.8476291038068	243.14968275107577	83.00005626372393	163.06742532143508
Citrobacter	0	0	0	0	0	0
Clostridioides	0	0	0	0	0	0
Clostridium	169.05037646009112	158.18430838394363	193.6347725025643	256.30735796906123	170.1114120702744	187.62756229987448
Colibacter	0	0	0	0	0	0
Colidextribacter	21.8818105032648	21.075321565229373	44.56331494840994	23.756608384226148	18.152722829283743	40.366525629909525
Collinsella	905.4864705969414	989.745863305678	547.3111244881187	3140.8107586927213	1008.3000626396756	2104.439578779616
Coprobacter	0	0	0	0	0	0
Coprococcus	2512.6976954567517	2118.6988544696956	3105.2266477784337	3914.875474379803	1679.755081308804	2952.3831144952865
Corynebacterium	0	0	0	0	0	0
Cuneatibacter	27.64363360998817	12.885492183901002	13.5187982383867	31.93475682834181	0	19.567597275598978
Dehalobacter	0	0	0	0	0	0
Desulfitispora	0	0	0	0	0	0
Desulfothermobacter	0	0	0	0	0	0
Desulfovibrio	11	53.95277362101205	49.00000916381449	65.99831175222894	46.56018379405828	18.000019761888815
Dialister	875.8885580574819	789.245430618842	989.6928710252206	1375.7170617528964	657.4079781544887	1163.3022861501456
Dielma	0	0	13.026213808691368	0	0	0
Dorea	1568.7562839819157	1275.7733607146051	2072.4986963127767	2570.7911185355733	1130.7388612037876	1909.6839991938616
Drancourtella	0	0	0	0	0	0
Duncaniella	135.2741671261635	140.78178961922714	165.66350192700995	225.6500261300081	116.27120745257712	176.4825306282641
Duodenibacillus	29.015079369897386	41.23720491316703	26.776553190343417	48.89894063758494	19.00176792891464	41.9975877702126
Dysosmobacter	421.50744117824655	354.4848197175564	515.1991888280157	819.2731661496488	473.3971803617298	621.5513001644157
Eggerthella	44.20163032512622	35.067001353996325	34.09485658578607	78.60182299082835	29.540564391447823	58.01046425836113
Eisenbergiella	0	0	0	0	0	0
Emergencia	26.539405012206124	14.167771644872284	28.21945388887809	62.85303099745211	13.487832943884502	36.29044406513248
Enterobacter	0	0	13.250891311385516	0	0	12.367018945890658
Enterocloster	154.49979175763704	106.44962268809896	128.11722003228184	252.01168712073945	87.25832682873306	172.586855988998
Enterococcus	247.02167203411724	202.3979640113535	259.77320887383837	387.8102591390753	181.3911547460246	333.98496843869486
Enterorhabdus	0	0	0	16.182372134347332	13.00387522120444	10.96662267933506
Erysipelatoclostridium	0	22.196354909529337	39.85895169802965	0	10.509138796358975	30.923285093396956
Escherichia	2439.7337973201716	2277.428116310744	2792.166294534094	2466.709582528775	1916.0752389549543	4486.97894712138
Eubacterium	251.7868485362449	248.28048514626616	312.9820714087978	507.6553429191451	202.44929621313813	392.2134708235794
Faecalibacterium	2613.8733604293448	2265.268292094742	2810.968234664901	2681.0972859546373	1183.1461484372026	2482.3186773341613
Faecalibaculum	0	0	0	0	0	0
Faecalicatena	1390.3325791565044	1176.9129477168256	1894.9339110770295	1347.233526917662	820.9932704321477	1620.2406585824594
Faecalimonas	625.5890220827151	488.0405727663635	915.5932031239636	458.2653740564832	362.9253056014463	708.3383933941287
Faecalitalea	19.000434305814984	12.68399180931268	38.93027080559048	0	0	0
Falcatimonas	0	0	14.642476190114468	0	0	18.30758053520957
Fastidiosipila	0	0	0	0	0	0
Flavonifractor	117.45073555575952	105.10946196044137	212.81616176656036	184.9519052872141	146.9742986515053	207.76374973110129
Flintibacter	208.89613960063332	160.52490514794744	227.2731711121205	330.3109607624143	189.820604372476	310.8504774687444
Fournierella	0	14.609233999442356	17.89810983531881	11.71083936411844	0	12.754852855500582
Frisingicoccus	0	0	13.827953201405007	0	0	0
Fusibacter	0	0	0	0	0	0
Fusicatenibacter	410.8448521804456	369.1103796477148	432.91900820263385	636.1062658810313	249.4945836290907	545.2321393566106
Gemmiger	332.7437998832906	244.9377414103144	387.06379531303537	459.7574770184684	279.1299503770242	404.7490995982975
Geosporobacter	0	0	0	0	0	0
Gordonibacter	0	0	0	0	0	0
Gottschalkia	0	0	0	0	0	0
Haemophilus	0	0	0	0	0	0
Harryflintia	0	0	0	0	0	0
Herbinix	0	0	0	0	0	0
Hespellia	53.704894369574326	41.902128126018106	103.4407798291083	52.186514194671616	42.89593093214781	40.59507615894275
Holdemanella	372.03343974109606	285.3156524281486	494.34234843973	376.0000000006365	271.8657243125075	493.646161751981
Holdemania	0	0	31.97949473954226	25	0	14.001130477504349
Hungateiclostridium	25.000079903610068	14.000002781157765	34.99901882482964	85.58935449277752	19.00000000005304	42.09942684293971
Hungatella	393.7975199192318	304.4097601984905	346.692294066114	466.3446522896074	160.85613604031718	312.84030819778513
Hydrogenoanaerobacterium	0	0	12.3414005391704	16.712419662112403	0	14.213373782482538
Ichthyobacterium	0	0	0	0	0	0
Ihubacter	28.460779375868707	21.83556786495481	41.86500021415896	52.247751106021845	17.569532191306415	35.50833377344765
Intestinibacillus	0	0	11.782473533105724	0	0	0
Intestinibacter	25.038263502362785	23.595148648236048	22.876808771554465	47.06621076262008	14.08400077066313	38.04458637823279
Intestinimonas	42.513383579316816	27.656759861442485	37.60951600142488	74.8438615494819	36.2057918840998	88.94531062091784
Klebsiella	0	0	0	0	0	0
Knoellia	0	0	0	0	0	0
Kytococcus	0	0	0	0	0	0
