genus	repBC49_Pl1	repBC50_Pl1	repBC51_Pl1	repBC55_Pl1	repBC56_Pl1	repBC57_Pl1
Acetanaerobacterium	0	0	0	0	0	0
Acetivibrio	0	0	0	0	0	0
Acholeplasma	0	0	0	0	0	0
Acidaminococcus	816.5200085735305	1708.6229595896857	1402.0896647836594	1009.1524011178155	1221.599371158955	135.0072870780225
Acidimicrobium	0	0	0	0	0	0
Acutalibacter	0	0	0	0	0	0
Adlercreutzia	0	16.02350429765077	0	14.103511723180532	0	0
Agathobacter	0	0	0	0	0	0
Agathobaculum	0	0	0	10.19195361183102	23.63653655076786	0
Akkermansia	0	0	0	0	0	0
Alginatibacterium	0	0	0	0	0	0
Alistipes	61.99820349793839	91.9858417541237	53	78.53383280638252	65.96658898485518	0
Allisonella	575.1561345829938	761.2130660492065	499.80696999311925	836.843480544548	852.8069848082796	86.04037122321309
Alterileibacterium	0	0	0	0	0	0
Amedibacillus	0	0	0	0	0	0
Aminiphilus	0	0	17	29.99995197255912	16	0
Aminipila	0	0	0	0	0	0
Anaerobutyricum	0	16.502818759842324	14.844265017760572	20.188681935941545	33.797035691763924	0
Anaerocolumna	0	0	0	17.396972176145738	0	0
Anaeromassilibacillus	40.25743909129838	39.90332651581606	28.02823233994397	48.81721337963268	81.06217197562349	0
Anaerosporomusa	0	0	0	0	0	0
Anaerostipes	20.202090883159265	29.303260133164287	30.72843480298047	42.27760687567304	34.00940926189449	0
Anaerotaenia	0	0	0	0	0	0
Anaerotignum	0	0	0	0	0	0
Anaerotruncus	0	0	0	0	0	0
Anaerovorax	0	0	0	0	0	0
Annwoodia	0	0	0	0	0	0
Asaccharobacter	0	0	0	0	0	0
Atlantibacter	0	0	0	0	0	0
Bacillus	0	0	0	0	0	0
Bacteroides	130.07996198630755	216.31229930135723	101.21112678134006	237.08826314337492	144.83533651167645	0
Bariatricus	0	0	0	0	17.640795107572917	0
Barnesiella	32	45.99999995830347	34.798368038063	42.98604292490499	16.37560623141991	0
Beduini	0	0	0	0	0	0
Bifidobacterium	393.64699814368976	578.998929947561	358.26863664297076	683.5845694136578	670.875998481388	59.19326920411472
Blautia	737.2995247240889	1202.5179757350284	897.0666016016141	1302.401333503161	1409.6489165590856	112.0447831755554
Breznakia	0	0	0	0	0	0
Butyricicoccus	18.000000071033053	20.883560787318288	16.14846220430085	36.78901083397875	13.38001063316455	0
Butyricimonas	0	0	0	0	0	0
Butyrivibrio	0	0	0	0	0	0
Caldicoprobacter	0	0	0	0	0	0
Caproiciproducens	0	0	0	0	0	0
Casaltella	0	0	0	0	0	0
Catenibacterium	0	14	0	18.000000015521103	40.99999935406329	0
Cellulosilyticum	0	0	0	0	0	0
Christensenella	34	39.00000427188155	26.99999999999931	26.999892210121057	82.83377718366394	0
Citrobacter	0	0	0	0	0	0
Clostridioides	0	0	0	0	0	0
Clostridium	33.449216058481824	56.12145869809463	28.0155538883099	55.89835738662389	94.40476566224407	0
Colibacter	0	0	0	0	0	0
Colidextribacter	0	0	0	0	0	0
Collinsella	105.14068514503668	495.48737251080183	152.23584385570751	334.7610388538208	110.3792480853614	33.88570010518815
Coprobacter	0	0	0	0	0	0
Coprococcus	60.32970302751336	93.09246462378314	70.68782274213251	97.98095416086252	88.44348956560611	0
Corynebacterium	0	0	12.713102774375493	0	0	0
Cuneatibacter	38.29841422645051	69.88998340872887	66.65729250977932	58.0773311522661	76.49336827656813	0
Dehalobacter	0	0	0	0	0	0
Desulfitispora	0	0	0	0	0	0
Desulfothermobacter	0	0	0	0	0	0
Desulfovibrio	0	0	0	0	0	0
Dialister	1170.4094485285286	1788.1784464182674	1195.276687670308	1477.6200849385154	1724.511944366738	152.98851701204225
Dielma	0	0	0	0	0	0
Dorea	0	0	0	0	13.000000014306536	0
Drancourtella	0	0	0	0	0	0
Duncaniella	0	12.000222413578696	0	0	0	0
Duodenibacillus	0	0	0	0	0	0
Dysosmobacter	19.90778839594689	23.04125135049097	0	18.56750217523897	36.73193762321657	0
Eggerthella	0	12.999289781481242	0	0	0	0
Eisenbergiella	0	0	0	0	0	0
Emergencia	0	0	0	0	0	0
Enterobacter	0	0	0	0	0	0
Enterocloster	0	19.49566254286352	0	15.894497176641776	0	0
Enterococcus	95.17572567212548	134.30363130709895	119.36219494667884	100.79157508564592	160.01642764677206	0
Enterorhabdus	0	10.333570401682357	0	0	0	0
Erysipelatoclostridium	0	0	0	0	0	0
Escherichia	52	38.00000003796963	22	37	36.99999985027886	0
Eubacterium	41.28535600321863	59.77592444265411	67.26912758019307	78.92448542550248	78.41191444123193	11.000006131787696
Faecalibacterium	394.9942158048744	942.6940145170856	563.0473264571873	727.7552866763469	880.3089562789049	54.37074019942607
Faecalibaculum	0	0	0	0	0	0
Faecalicatena	26.09607120793664	26.745735251372896	35.646228998881284	38.6264152272037	56.28343318560655	0
Faecalimonas	0	0	0	0	0	0
Faecalitalea	0	0	0	0	0	0
Falcatimonas	0	0	0	0	0	0
Fastidiosipila	0	0	0	0	0	0
Flavonifractor	0	0	0	0	0	0
Flintibacter	0	0	0	0	0	0
Fournierella	0	0	0	0	0	0
Frisingicoccus	0	0	0	0	0	0
Fusibacter	0	0	0	0	0	0
Fusicatenibacter	247.3106638732544	368.93341393471167	262.8813794781911	313.94815260959126	313.4842912330231	32.95193628156207
Gemmiger	95.8787078406932	156.00163816129677	142.89558792808526	111.02032971946136	148.97970448043907	0
Geosporobacter	0	0	0	0	0	0
Gordonibacter	0	0	0	0	0	0
Gottschalkia	0	0	0	0	0	0
Haemophilus	0	0	0	0	0	0
Harryflintia	0	0	0	0	0	0
Herbinix	0	0	0	0	0	0
Hespellia	0	0	0	0	0	0
Holdemanella	11	14.99999650367893	0	27	34.000010024363306	0
Holdemania	0	0	0	0	0	0
Hungateiclostridium	18.999983102550928	28.999946280578307	14.000000000040185	14.0710490887903	0	0
Hungatella	0	22.392916354929085	0	0	57.98065560719588	0
Hydrogenoanaerobacterium	0	0	0	0	0	0
Ichthyobacterium	0	0	0	0	0	0
Ihubacter	0	0	0	0	0	0
Intestinibacillus	0	0	0	0	0	0
Intestinibacter	51.00019098034613	63.70545613160073	43.69325052541237	59.37433667999642	72.6446373366269	0
Intestinimonas	0	0	0	0	0	0
Klebsiella	0	0	0	0	0	0
Knoellia	0	0	0	0	0	0
Kytococcus	0	0	0	0	0	0
Laceyella	0	11.00046778261664	15	12	10.000466060515016	0
Lachnoclostridium	0	0	0	0	13.11299907523036	0
Lachnospira	68.10002154862292	99.00150091381136	74.23069486028666	114.91899957863814	111.02503418132596	0
Lacrimispora	37.45483324439631	18.5575361257868	39.92165407447615	37.40448923710384	58.7624470385098	0
Lactiplantibacillus	0	0	0	0	0	0
Lactobacillus	613.7532592082608	1339.4651502358342	1116.644390723901	783.5034035576933	999.402559119359	105.38661687830772
Lactococcus	0	0	0	0	0	0
Lactonifactor	0	0	0	0	0	0
Lelliottia	0	0	0	0	0	0
Libanicoccus	0	0	0	0	0	0
Longibaculum	22.26517965681855	23.490503337098477	0	44.67162656853604	105.8646608306669	0
Mageeibacillus	0	0	0	0	0	0
Massilimicrobiota	0	0	0	0	0	0
Massiliprevotella	0	0	0	0	0	0
Massilistercora	0	0	0	0	0	0
Mediterraneibacter	32.11115079344969	65.26703206682316	20.9061332476077	65.95855957590706	51.881904574668546	0
Megamonas	0	20	0	21.11862968265276	30.000000022285892	0
Megasphaera	17389.52162288975	23623.398936057132	13399.880777396502	22683.74680730109	21682.354615488643	1634.2304568827665
Metakosakonia	0	0	0	0	0	0
Mitsuokella	58.94377546380032	70.50775356876892	79.79733864589817	66.31644248038323	47.935504992379386	0
Mogibacterium	0	0	0	0	0	0
Monoglobus	0	0	0	24.835612309526283	0	0
Mordavella	0	0	0	0	0	0
Muribaculum	0	0	0	0	0	0
Muricomes	0	0	0	0	0	0
Murimonas	0	0	0	0	0	0
Mycobacterium	0	0	0	16.136779050041078	0	0
Mycolicibacterium	0	0	0	32.206626794731825	0	0
Mycoplasma	0	0	0	0	0	0
Negativibacillus	0	0	0	0	0	0
Neglecta	0	0	0	0	0	0
Neptuniibacter	0	0	0	0	0	0
Odoribacter	0	0	0	0	0	0
Olsenella	142.95947490737316	440.5120535921728	189.78335094870576	328.90028904745566	138.85467226877572	18.11611352697542
Oscillibacter	0	18.07543527391526	22.412742717813487	36.111199197010464	18.926414140587884	0
