genus	repBC61_Pl1	repBC62_Pl1	repBC63_Pl1	repBC67_Pl1	repBC68_Pl1	repBC69_Pl1
Acetanaerobacterium	0	0	0	0	0	0
Acetivibrio	0	0	0	0	0	0
Acholeplasma	0	0	0	0	0	0
Acidaminococcus	368.8469013942168	2046.6450417250037	2485.8518543953937	348.0207930541826	3256.1441808239606	3429.4243128891653
Acidimicrobium	0	0	0	0	0	0
Acutalibacter	0	0	0	0	0	0
Adlercreutzia	0	0	15.000667703066505	0	0	17.00141273266171
Agathobacter	0	0	0	0	0	0
Agathobaculum	0	0	0	0	0	0
Akkermansia	0	0	0	0	0	0
Alginatibacterium	0	0	0	0	0	0
Alistipes	0	0	19.99999997638399	0	34.000000315116125	12
Allisonella	105.17076780071471	564.6222290723663	685.155435541042	120.22867753470288	1232.6540624006386	980.2648029404368
Alterileibacterium	0	0	0	0	0	0
Amedibacillus	0	0	0	0	0	0
Aminiphilus	0	0	0	0	0	0
Aminipila	0	0	0	0	0	0
Anaerobutyricum	0	90.95571042163252	51.989462429461945	0	0	28.515205072465577
Anaerocolumna	0	0	0	0	0	0
Anaeromassilibacillus	0	0	0	0	0	0
Anaerosporomusa	0	0	0	0	0	0
Anaerostipes	23.08048544077907	74.51408093007909	118.94166259413416	0	26.180432247279057	131.87653730198724
Anaerotaenia	0	0	0	0	0	0
Anaerotignum	0	0	0	0	0	0
Anaerotruncus	0	0	0	0	0	0
Anaerovorax	0	0	0	0	0	0
Annwoodia	0	0	0	0	0	0
Asaccharobacter	0	0	0	0	0	0
Atlantibacter	0	0	0	0	0	0
Bacillus	0	0	0	0	0	0
Bacteroides	0	52.08852320756504	60.94824878399757	0	41.00271815465853	58.40233992439114
Bariatricus	0	0	0	0	0	0
Barnesiella	0	0	0	0	0	0
Beduini	0	0	0	0	0	0
Bifidobacterium	24.998481068039435	3156.5060858419724	610.2837836421712	30	289.1813386650249	906.5858247303164
Blautia	0	55.53977733645435	86.57003574399101	0	138.39849171690565	56.68359363560864
Breznakia	0	0	0	0	0	0
Butyricicoccus	0	19.82067012151813	0	0	0	16.932194763609537
Butyricimonas	0	0	0	0	0	0
Butyrivibrio	0	0	0	0	0	0
Caldicoprobacter	0	0	0	0	0	0
Caproiciproducens	0	0	0	0	0	0
Casaltella	0	0	0	0	0	0
Catenibacterium	0	29.98988060658524	52.97428978586546	0	20	38.000000002088136
Cellulosilyticum	0	0	0	0	0	0
Christensenella	0	0	11	0	20.97122822446625	13.99999999906747
Citrobacter	0	0	0	0	0	0
Clostridioides	0	0	0	0	0	0
Clostridium	0	0	0	0	16	0
Colibacter	0	0	0	0	0	0
Colidextribacter	0	0	0	0	0	0
Collinsella	25.999224665906137	162.60231221781797	238.1152061338002	35.95771126807498	206.1071162734175	279.0116420270084
Coprobacter	0	0	0	0	0	0
Coprococcus	0	0	0	0	0	0
Corynebacterium	0	0	0	0	0	0
Cuneatibacter	0	0	0	0	0	0
Dehalobacter	0	0	0	0	0	0
Desulfitispora	0	0	0	0	0	0
Desulfothermobacter	0	0	0	0	0	0
Desulfovibrio	0	0	0	0	0	0
Dialister	137.20129518899515	704.5031606049318	975.6374749258454	147.68779590745237	1367.5680288126423	1173.256572548808
Dielma	0	0	0	0	0	0
Dorea	21.99999963991032	155.21592968672394	190.4764497879303	0	0	185.68984407215171
Drancourtella	0	0	0	0	0	0
Duncaniella	0	21.000440869740824	0	0	0	0
Duodenibacillus	0	0	0	0	0	0
Dysosmobacter	0	0	0	0	0	0
Eggerthella	0	51.4208187913095	45.420753861094	0	45.694446935562304	69.57304527499173
Eisenbergiella	0	0	0	0	0	0
Emergencia	0	0	0	0	0	0
Enterobacter	0	0	0	0	0	0
Enterocloster	0	0	0	0	0	0
Enterococcus	0	48.63402210378553	60.04415583022062	13	100.0000000020909	88.96553425854161
Enterorhabdus	0	43.16985000094278	76.0515851536613	0	30.04907662054026	53.58787549677589
Erysipelatoclostridium	0	0	0	0	0	0
Escherichia	0	21.15797771727032	45.000000546671146	0	30	44.000000041805535
Eubacterium	0	0	0	0	0	14
Faecalibacterium	10	51.09191125399467	84.02530146885293	0	124.67448639178208	78.04111965069379
Faecalibaculum	0	0	0	0	0	0
Faecalicatena	0	35.56020309251148	28.063146738772392	0	0	0
Faecalimonas	0	0	0	0	0	0
Faecalitalea	0	0	0	0	0	0
Falcatimonas	0	0	0	0	0	0
Fastidiosipila	0	0	0	0	0	0
Flavonifractor	0	0	0	0	0	0
Flintibacter	0	0	0	0	0	0
Fournierella	0	0	0	0	0	0
Frisingicoccus	0	0	0	0	0	0
Fusibacter	0	0	0	0	0	0
Fusicatenibacter	0	29.00000000200033	41.9999992183905	0	36.00000029695259	30.4294341625302
Gemmiger	0	22.02850770868412	35.00049678277593	0	64.9729875950168	40.97516770548905
Geosporobacter	0	0	0	0	0	0
Gordonibacter	0	0	22.9098516480016	0	31.130635734454515	40.06068207873581
Gottschalkia	0	0	0	0	0	0
Haemophilus	0	0	0	0	0	0
Harryflintia	0	0	0	0	0	0
Herbinix	0	0	0	0	0	0
Hespellia	0	24.042283254050943	0	0	0	0
Holdemanella	0	0	11.998934641018176	0	0	0
Holdemania	0	0	0	0	0	0
Hungateiclostridium	0	0	0	0	0	0
Hungatella	0	0	0	0	0	0
Hydrogenoanaerobacterium	0	0	0	0	0	0
Ichthyobacterium	0	0	0	0	0	0
Ihubacter	0	0	0	0	0	0
Intestinibacillus	0	0	0	0	0	0
Intestinibacter	0	16.00407668885594	17.903149221048636	0	19.876599956172047	32.66117052628321
Intestinimonas	0	0	0	0	0	0
Klebsiella	0	0	0	0	0	0
Knoellia	0	0	0	0	0	0
Kytococcus	0	0	0	0	0	0
Laceyella	0	0	12	0	11	0
Lachnoclostridium	0	0	0	0	0	0
Lachnospira	0	12.074587200913951	21.697638591000032	0	31.673144218925863	22.00000244021409
Lacrimispora	0	0	0	0	0	0
Lactiplantibacillus	0	0	0	0	0	0
Lactobacillus	77.999999954723	575.0568946483354	974.4691341470063	230.92313913676637	2747.315561809086	2131.226404173615
Lactococcus	0	0	0	0	0	0
Lactonifactor	0	0	0	0	0	0
Lelliottia	0	0	0	0	0	0
Libanicoccus	0	0	0	0	0	0
Longibaculum	0	0	0	0	0	0
Mageeibacillus	0	0	0	0	0	0
Massilimicrobiota	0	0	0	0	0	0
Massiliprevotella	0	0	0	0	0	0
Massilistercora	0	0	0	0	0	0
Mediterraneibacter	0	38.89530869433167	34.05026762304311	0	0	40.72998418889578
Megamonas	0	81.00061958730265	52.9926620159881	29.57767199029118	144.00447589131454	141.9768311359182
Megasphaera	1775.1952596891267	10686.622640608966	13053.043070150485	1960.572293111155	16092.430136712645	14545.452196416853
Metakosakonia	0	0	0	0	0	0
Mitsuokella	11.000000000006642	14.000000000004691	29.173422763237777	0	24.999997444546413	26.00563569779059
Mogibacterium	0	152.74594796922267	259.02953231695	0	0	400.51601263009314
Monoglobus	0	0	0	0	0	0
Mordavella	0	0	0	0	0	0
Muribaculum	0	0	0	0	0	0
Muricomes	0	0	0	0	0	0
Murimonas	0	0	0	0	0	0
Mycobacterium	0	0	0	0	0	0
Mycolicibacterium	0	0	0	0	0	0
Mycoplasma	0	0	0	0	0	0
Negativibacillus	0	0	0	0	0	0
Neglecta	0	0	0	0	0	0
Neptuniibacter	0	0	0	0	0	0
Odoribacter	0	0	0	0	0	0
Olsenella	190.91786075278236	919.5861307093307	1466.2220705621628	147.0003949725227	1519.9610696757652	1981.0744967593928
Oscillibacter	0	0	0	0	0	0
Oxobacter	0	0	0	0	0	0
Paeniclostridium	0	0	0	0	0	0
Paludicola	0	0	0	0	0	0
Pantoea	0	0	0	0	0	0
Papillibacter	0	0	0	0	0	0
Parabacteroides	0	36.061117919926126	53.000000000002856	0	71.99997457100751	62.48759745270428
Paraclostridium	0	0	0	0	0	0
Paraprevotella	0	0	0	0	0	0
Parasutterella	0	0	0	0	0	12
Parvibacter	0	0	0	0	0	0
Pediococcus	152.91951455922091	5252.564926905528	2799.839001095791	250.98797710781025	2620.78839710143	3804.6348876275497
Peptacetobacter	0	0	0	0	0	0
Peptoniphilus	0	0	0	0	0	0
Peptostreptococcus	0	0	0	0	0	0
Phascolarctobacterium	0	0	0	0	0	0
Phocaeicola	0	171.5623105525273	190.9932260668692	0	187.9973271862476	187.39817509564665
Phocea	0	0	0	0	0	0
Plesiomonas	0	0	0	0	0	0
