genus	repBC76_Pl1	repBC77_Pl1	repBC78_Pl1	repBC82_Pl1	repBC83_Pl1	repBC84_Pl1
Acetanaerobacterium	0	0	0	0	0	0
Acetivibrio	0	0	0	0	0	0
Acholeplasma	0	0	0	0	0	0
Acidaminococcus	4578.8880024749205	1982.0176722847505	7725.717229152487	3620.2534647538905	4139.268231123326	6625.780858048058
Acidimicrobium	0	0	0	0	0	0
Acutalibacter	0	0	0	0	0	0
Adlercreutzia	39.86823134694674	15.97354493869195	53.28777866568018	11.618216109520278	16.198718312606726	19.69082157973451
Agathobacter	0	0	0	0	0	0
Agathobaculum	0	0	0	13.531237655408855	29.944383890016272	0
Akkermansia	0	0	0	0	0	0
Alginatibacterium	0	0	0	0	0	0
Alistipes	0	0	20	16.976735785175165	0	0
Allisonella	1106.1358091781974	478.8663411342965	1188.6574489061709	1043.9685885092608	982.3497078846344	1583.7495889583884
Alterileibacterium	0	0	0	0	16.46797112854355	0
Amedibacillus	0	0	0	0	0	0
Aminiphilus	0	0	0	0	0	0
Aminipila	0	0	0	0	0	0
Anaerobutyricum	0	0	0	11.999957440662731	118.30542338074524	0
Anaerocolumna	0	0	0	0	0	0
Anaeromassilibacillus	0	0	0	29.23937549344325	0	0
Anaerosporomusa	0	0	0	0	0	0
Anaerostipes	291.74637520424386	117.43852066907132	412.7241190624208	228.0210677540947	165.05009189816104	149.91013886815176
Anaerotaenia	0	0	0	0	0	0
Anaerotignum	0	0	0	0	0	0
Anaerotruncus	0	0	0	0	0	0
Anaerovorax	0	0	0	0	0	0
Annwoodia	0	0	0	0	0	0
Asaccharobacter	0	0	0	0	0	0
Atlantibacter	0	0	0	0	0	0
Bacillus	0	0	0	0	0	0
Bacteroides	0	0	15.20365792761656	12.93980309737967	0	0
Bariatricus	0	0	0	0	0	0
Barnesiella	0	0	0	0	0	0
Beduini	0	0	0	0	0	0
Bifidobacterium	345.84366598874414	1505.0357591661505	1371.3461183822324	304.50091630874545	185.2299164983216	495.2562701664548
Blautia	79.17890113710828	24.99997875111541	97.00877426980298	47.09028723276822	70.00063352390693	139.42299769758205
Breznakia	0	0	0	0	0	0
Butyricicoccus	0	0	31.06245224463852	38.46139193306544	35.05586784003576	0
Butyricimonas	0	0	0	0	0	0
Butyrivibrio	0	0	0	0	0	0
Caldicoprobacter	0	0	0	0	0	0
Caproiciproducens	0	0	0	0	0	0
Casaltella	23.983481877662683	31.050144194912445	82.42242011954879	145.88307526124578	742.2851202999545	0
Catenibacterium	123.99999999996852	67	203.1625223680487	139.91778752390246	111.00912167099118	133.99953284378648
Cellulosilyticum	0	0	0	0	0	0
Christensenella	20	0	27.99999999936749	0	0	19.000009412663527
Citrobacter	0	0	0	0	0	0
Clostridioides	0	0	0	0	0	0
Clostridium	48	0	62.853694412998735	44.79136723798753	50.00000340340101	81.99999999218512
Colibacter	0	0	0	0	0	0
Colidextribacter	0	0	0	0	0	0
Collinsella	420.64168362161513	202.94203481078856	834.8657907436539	317.2183778855734	149.31656721097147	368.6758689308591
Coprobacter	0	0	0	0	0	0
Coprococcus	0	0	0	0	0	0
Corynebacterium	0	0	0	0	0	0
Cuneatibacter	0	0	21.99700531691943	0	0	0
Dehalobacter	0	0	0	0	0	0
Desulfitispora	0	0	0	0	0	0
Desulfothermobacter	0	0	0	0	0	0
Desulfovibrio	0	0	0	0	0	0
Dialister	2635.841772399143	960.9314884755544	3028.1216161898938	2069.934397363132	1499.647689296222	3360.770391398048
Dielma	0	0	0	0	0	0
Dorea	0	0	0	0	0	173.74055048048152
Drancourtella	0	0	0	0	0	0
Duncaniella	0	0	0	0	18.999999295324155	0
Duodenibacillus	0	0	0	0	0	0
Dysosmobacter	0	0	0	0	0	0
Eggerthella	130.745027105207	49.86142273481651	144.96340346105436	177.15309446771238	119.71145751209164	226.28382419380665
Eisenbergiella	0	0	0	0	0	0
Emergencia	0	0	0	0	0	0
Enterobacter	0	0	0	0	0	0
Enterocloster	0	0	0	0	0	0
Enterococcus	196.90054900662	85.32139363068644	237.0947289567581	430.1892052378072	154.61894080621727	279.77826676380334
Enterorhabdus	118.46472094195327	120.68534102887054	783.4304041208298	58.654965883572	77.52266435637577	151.88446883814456
Erysipelatoclostridium	0	0	0	0	0	0
Escherichia	129.99999806827293	33.00000000056093	159.99999999812124	147.96291537861904	52	67.00007973242955
Eubacterium	302.3903961708122	153.9998905729545	295.10454655529173	186.6498762833052	107.74315665709574	285.00000797522074
Faecalibacterium	69.11531656204008	64.00000451555809	278.5264878711179	271.50571680879744	112.06387560680248	122.08035470864338
Faecalibaculum	0	0	0	0	0	0
Faecalicatena	0	0	28.574560193630717	0	0	78.6974972387396
Faecalimonas	0	0	0	0	0	0
Faecalitalea	0	0	0	18.280021827558777	0	0
Falcatimonas	0	0	0	0	0	0
Fastidiosipila	0	0	0	0	0	0
Flavonifractor	0	0	0	0	0	0
Flintibacter	0	0	0	0	0	0
Fournierella	0	0	0	0	0	0
Frisingicoccus	0	0	0	0	0	0
Fusibacter	0	0	0	0	0	0
Fusicatenibacter	50.9999561859905	34.4608784794125	55.42456182307041	45.00330558123644	30.001384352433508	65.01633457415022
Gemmiger	129.35407113980634	52.02992094612441	139.99747269583722	96.1675908025788	76.0068894699008	90.90209144706894
Geosporobacter	0	0	0	0	0	0
Gordonibacter	169.0885345544612	103.67306899325624	544.8010758433451	372.51690552583	216.7737484669015	414.50429519729227
Gottschalkia	0	0	0	0	0	0
Haemophilus	0	0	0	0	0	0
Harryflintia	0	0	0	0	0	0
Herbinix	0	0	0	0	0	0
Hespellia	0	0	0	0	0	0
Holdemanella	35.999999999998806	0	0	242.7198885986411	137.0001938711798	0
Holdemania	0	0	0	0	0	0
Hungateiclostridium	15	0	21	22.003822321249416	0	14
Hungatella	0	0	0	0	0	0
Hydrogenoanaerobacterium	0	0	0	0	0	0
Ichthyobacterium	0	0	0	0	0	0
Ihubacter	0	0	0	0	0	0
Intestinibacillus	0	0	0	0	0	0
Intestinibacter	84.53244686027769	41.00823039289922	92.5890946861344	55.70322498125608	42.95595631576689	139.15234983219497
Intestinimonas	0	0	0	0	0	0
Klebsiella	0	0	0	0	0	0
Knoellia	0	0	0	0	0	0
Kytococcus	0	0	0	0	0	0
Laceyella	18	10	48.03754720746733	12.999599592079408	11.24357851394126	17.111905628467362
Lachnoclostridium	0	0	0	0	0	0
Lachnospira	33.99999992138102	17.40343897910957	46.816881905599885	43.00000000481287	15.707898239489271	70.33985210132991
Lacrimispora	0	0	0	0	0	0
Lactiplantibacillus	0	0	0	0	0	0
Lactobacillus	1938.707917453984	722.1592076226551	4721.127625815994	1531.782937230384	1587.991630603355	4777.139993784264
Lactococcus	0	0	0	0	0	0
Lactonifactor	0	0	0	0	0	0
Lelliottia	0	0	0	0	0	0
Libanicoccus	13.104314379441549	0	0	0	0	0
Longibaculum	0	0	14.113045583445665	0	0	0
Mageeibacillus	0	0	0	0	0	0
Massilimicrobiota	0	0	0	0	0	0
Massiliprevotella	31.6453239142192	0	0	0	0	0
Massilistercora	0	0	0	0	0	0
Mediterraneibacter	12.000000000033276	0	110.42469437126124	42.0010765603987	39.29209550376635	24.147172480869543
Megamonas	125.999216243498	116.99960513191932	154.02435193906712	58.087243906480325	63.75995570172048	140.01919687693183
Megasphaera	23558.053947626824	7618.453010173476	32259.97467504883	17199.62422808991	12211.017230267164	21480.216074339052
Metakosakonia	0	0	0	0	0	0
Mitsuokella	17.999994116351115	13.999999842395138	71.70900612027272	30.232457475260976	12.000000000000185	102.31087714783438
Mogibacterium	4461.792692473401	3134.0294485285317	17193.413573167138	5304.7876951061135	5949.539532635792	0
Monoglobus	0	0	0	0	0	0
Mordavella	0	0	0	0	0	0
Muribaculum	0	0	0	0	0	0
Muricomes	0	0	0	0	0	0
Murimonas	0	0	0	0	0	0
Mycobacterium	0	0	0	0	0	0
Mycolicibacterium	0	0	0	0	0	0
Mycoplasma	0	0	0	0	0	0
Negativibacillus	0	0	0	0	0	0
Neglecta	0	0	0	0	0	0
Neptuniibacter	0	0	0	0	0	0
Odoribacter	0	0	0	0	0	0
Olsenella	3044.9942360479454	1071.0012118461318	6084.7985435787505	2741.4778293581694	1663.9335548403574	3473.423717430052
Oscillibacter	0	0	0	24.999995671565856	0	22.99943745195557
Oxobacter	0	0	0	0	0	0
Paeniclostridium	0	0	32.91714164497638	18.73127836780918	0	37.3899141967905
