genus	repBC22_Pl3	repBC23_Pl3	repBC24_Pl3	repBC28_Pl3	repBC29_Pl3	repBC30_Pl3
Acetanaerobacterium	0	0	0	0	0	0
Acetivibrio	0	0	0	0	0	0
Acholeplasma	0	0	0	0	0	0
Acidaminococcus	233.9668899369057	204.4756402509205	384.17976410144456	254.6791246641092	114.78689288710056	167.73540936614418
Acidimicrobium	0	0	0	0	0	0
Acutalibacter	0	0	0	0	0	0
Adlercreutzia	19.006997102194045	15.060751524367005	0	19.10954490863377	0	16.009065736724676
Agathobacter	0	0	0	0	0	0
Agathobaculum	63.62417475435827	49.38872096889867	105.23927616958991	39.91827428440996	17.814430642621755	45.062575463022135
Akkermansia	0	0	0	0	0	0
Alginatibacterium	0	0	0	0	0	0
Alistipes	96.57493866869856	110.00430026092342	51.99279877611741	109.06026031660758	47.001010949459534	125.92513885455269
Allisonella	30.999941806099383	0	29.81564708789949	23.014399643176468	0	14
Alterileibacterium	0	0	0	0	0	0
Amedibacillus	0	0	0	0	0	0
Aminiphilus	0	0	0	0	0	0
Aminipila	0	0	16.978848129054384	0	0	0
Anaerobutyricum	255.68434121913452	195.06559348224565	530.8373134977829	338.0329582975884	175.06149851604874	311.37930004811574
Anaerocolumna	0	0	0	0	0	0
Anaeromassilibacillus	38.97963303358293	25.260263521007584	46.980889981693686	38.06107358970114	25.35356855295488	45.77447405052781
Anaerosporomusa	0	0	0	0	0	0
Anaerostipes	1720.1248465429785	1163.3809274258356	2521.647724402014	1609.897170627274	898.0290774189206	1455.2043012844265
Anaerotaenia	0	0	0	0	0	0
Anaerotignum	269.859336627209	198.45323920384303	333.5880666228952	242.8013834518024	184.988184621524	222.02802329153465
Anaerotruncus	36.02219151113626	38.45632931985705	38.38880867273364	32.84399010016791	27.179814658878037	31.30389547787776
Anaerovorax	0	0	0	0	0	0
Annwoodia	0	0	0	0	0	0
Asaccharobacter	0	0	0	0	0	0
Atlantibacter	0	0	0	0	0	0
Bacillus	0	0	0	0	0	0
Bacteroides	767.3457956170922	774.6372426797548	725.9172625195877	760.4227548610552	309.07981960265937	672.4267808333822
Bariatricus	425.332734554336	330.241537201666	722.419051670283	404.7684366806982	237.05304771286023	330.50403848548825
Barnesiella	62.26216068041217	62.48466615511301	34.01218494023545	56.97094544514411	0	40.00000004725739
Beduini	0	0	0	0	0	0
Bifidobacterium	109.27736552157648	84.5224466836653	13.000034326444627	54.01285656502573	158.42780529814337	47.273627397030694
Blautia	4312.790119243952	3543.3081631454797	5956.208655051747	4261.6397677375935	2539.686516800186	3434.0747080974866
Breznakia	0	0	0	0	0	0
Butyricicoccus	174.3256864082571	148.77398335638352	229.22583496730465	138.242750607288	70.37815612099334	137.90651107893535
Butyricimonas	14	0	0	0	0	0
Butyrivibrio	0	0	12.202230887615755	0	0	0
Caldicoprobacter	0	0	0	0	0	0
Caproiciproducens	0	0	0	0	0	0
Casaltella	0	0	0	0	0	0
Catenibacterium	255.5674249300581	382.40616805071744	332.5603324032069	998.6308024804712	511.22772518769926	969.919970644603
Cellulosilyticum	0	0	0	0	0	0
Christensenella	78.6919182314872	47.73065892512973	63.07409874304256	42.31668340113496	27.99984184929936	30.99999999980752
Citrobacter	0	0	0	0	0	0
Clostridioides	0	0	0	0	0	0
Clostridium	19.119453227074057	34.83481473850156	10.466817467446884	26.08924549427941	32.43742469204546	38.7290492827696
Colibacter	0	0	0	0	0	0
Colidextribacter	42.274285985369225	39.73642708375269	68.30627041268168	44.85263534836768	25.826899883537905	33.619630506955815
Collinsella	909.0742437218964	908.436983986054	676.2435725162718	1294.244460149257	810.050878572755	766.4550346263953
Coprobacter	0	0	0	0	0	0
Coprococcus	3737.319265178671	2577.8223807999157	5220.881506265093	3469.8781225416956	1978.838122755904	2729.8770990485027
Corynebacterium	0	0	0	0	0	0
Cuneatibacter	0	0	0	0	0	0
Dehalobacter	0	0	0	0	0	0
Desulfitispora	0	0	0	0	0	0
Desulfothermobacter	0	0	0	0	0	0
Desulfovibrio	24.999975343899827	32.99980929588554	16.99999999999998	0	14	0
Dialister	477.0850589897574	393.4123186169763	701.6057776153239	375.24820021959846	250.8179288545649	311.8491832368944
Dielma	0	0	0	0	0	0
Dorea	3680.733696915803	2640.628447018684	4691.165080052253	3087.5650496794115	1893.4635539790188	2713.475823730866
Drancourtella	0	0	0	0	0	0
Duncaniella	383.2239783646408	580.6741144802135	440.753868709245	717.81572223779	379.4318135041294	680.851392801226
Duodenibacillus	64.0774771496975	92.16349318984552	52.98736260802172	91.2219039164734	47.54115917074776	45.05454120152951
Dysosmobacter	342.3010822466047	300.83225449411384	521.7524138823326	400.6593273040684	281.6631172722652	390.6534102104852
Eggerthella	13.999953363331532	27.99394554831868	25.970962358751542	27.86138172124212	0	26.00009936290492
Eisenbergiella	0	0	0	0	0	0
Emergencia	26.73146608073264	0	17.586914672320276	0	0	26.11945151513273
Enterobacter	0	0	0	0	0	0
Enterocloster	191.7544864358746	124.0760244457957	247.20242032630225	128.69387539608397	81.88477053138492	84.8910723271489
Enterococcus	27.999999999999964	18.999999924168755	66.32130612636126	28.00000000713104	20.0000000056664	21.00000024335556
Enterorhabdus	0	0	0	0	0	0
Erysipelatoclostridium	0	0	0	13.000000086950507	0	0
Escherichia	369.0051920374979	200.00156686591347	121.99989473343628	306.6639265260222	185.20162533909397	187.00001105697
Eubacterium	146.15730143501864	94.33831790892268	182.84472154514103	143.2635802151955	83.56450638213269	122.06258814031916
Faecalibacterium	2344.680430484578	1969.4512906584775	4128.154177271697	2635.079562359286	1234.087227226462	1765.9019838696029
Faecalibaculum	0	0	0	0	0	0
Faecalicatena	2586.1826732273507	1846.814829561666	4011.8249786170018	2317.347998279251	1398.2759999349792	1886.9401043139724
Faecalimonas	1198.5608988193735	852.1511957098461	1904.5250266763169	1132.4237114960688	629.2011089706489	994.0687755427736
Faecalitalea	0	0	0	0	0	0
Falcatimonas	11.478684142005577	0	11.95792341656512	0	0	0
Fastidiosipila	0	0	0	0	0	0
Flavonifractor	88.49263782204447	80.46147574473896	139.3174777456311	128.73362259451926	75.13098608888927	75.4598330949284
Flintibacter	253.33011120106835	253.41404516337576	424.1104691955987	334.5118251482717	163.73271634559129	244.35001905810543
Fournierella	0	10.086913837625042	19.48896157599279	14.641160146611115	0	15.305240421628715
Frisingicoccus	0	0	0	0	0	0
Fusibacter	0	0	0	0	0	0
Fusicatenibacter	279.9931750654429	224.8045937824458	544.2903914782939	400.1944343002284	209.92563047894512	325.4713733600395
Gemmiger	523.2613429985413	418.0640951297834	651.3316946679186	562.7025369443384	253.02209663622813	382.7368815029656
Geosporobacter	0	0	0	0	0	0
Gordonibacter	0	0	0	0	0	0
Gottschalkia	0	0	0	0	0	0
Haemophilus	0	0	0	0	0	0
Harryflintia	0	0	0	0	0	0
Herbinix	0	0	0	0	0	0
Hespellia	22.511600637057228	12.763751379982851	42.58835405318379	23.48144768094795	12.859481003510012	17.071138277387668
Holdemanella	190.90998636431132	307.0925485339784	134.98837654742022	433.0287617010686	227.0009359892175	513.5228435032534
Holdemania	0	12	0	0	0	0
Hungateiclostridium	0	13.995960577000243	19.01044985841436	0	0	0
Hungatella	578.6662627179694	494.99229066059286	848.0794111889089	537.7443448209639	247.1343409369586	358.51171132417886
Hydrogenoanaerobacterium	0	0	0	0	0	0
Ichthyobacterium	0	0	0	0	0	0
Ihubacter	33.26576217749523	34.95064891039748	36.30430711099883	44.86400724542652	38.03636629646185	34.88204702507496
Intestinibacillus	0	0	0	0	0	0
Intestinibacter	32.7781743666022	22.99047382812065	152.6627942072415	76.65143331188035	87.91050156834974	107.56999959640144
Intestinimonas	35.51077440470345	38.04171684697318	37.28042962634921	16.61023203864267	11.243238458203829	34.561851180665386
Klebsiella	0	0	0	0	0	0
Knoellia	0	0	0	0	0	0
Kytococcus	0	0	0	0	0	0
Laceyella	18.225653578624268	0	27.999999818892437	13	0	22.999999998193584
Lachnoclostridium	243.16289410185632	204.95593644841833	308.15226714185735	228.75828369499368	96.30722864686484	157.68381752354182
Lachnospira	70.96277498026934	40.81294232604027	77.27587239001463	67.77487160384115	24.06117852150264	63.44381201647773
Lacrimispora	422.52551601124424	386.4617578139105	782.6845841733403	494.01514378221447	231.85152932604024	332.1546832292969
Lactiplantibacillus	0	0	0	0	0	0
Lactobacillus	19.99999950759205	0	19.004430116843643	10.98208619207419	0	0
