comparison,normalization,n_taxa_tested,sig_taxa_padj0.05,sig_taxa_padj0.01,up_padj0.05,down_padj0.05,min_size_factor,median_size_factor,max_size_factor
GAM_t24_Static_Quercetin,DESeq2_default,113,17,12,8,9,0.4235936377322957,1.1068139289709786,1.9332223261483654
GAM_t0_Static_CGA,DESeq2_default,120,15,0,2,13,0.43382481625009406,1.0454534768344188,2.315290934601202
GAM_t48_Stirred_Quercetin,DESeq2_default,117,9,7,3,6,0.5223617888054031,1.0753451474883495,1.632239831741209
mBHI_t24_Static_Quercetin,DESeq2_default,92,8,4,5,3,0.24852974753399198,1.3445085932133367,2.4335607914907915
GAM_t24_Static_CGA,DESeq2_default,116,7,5,3,4,0.6863198592037294,1.0336411903589946,1.4302395073471814
Schaedler_t48_Static_CGA,DESeq2_default,70,7,4,7,0,0.6023377436756828,1.05033206539501,1.4085717958816177
GAM_t0_Stirred_CGA,DESeq2_default,111,6,4,4,2,0.5049448781965206,1.045647363860648,1.9239682862442533
mBHI_t24_Stirred_CGA,DESeq2_default,99,6,4,5,1,0.7029231280165883,0.9630249709338534,1.670891213410483
Schaedler_t0_Static_CGA,DESeq2_default,96,5,2,1,4,0.6778830887581793,0.96858881294327,1.516905001801276
GAM_t24_Stirred_Quercetin,DESeq2_default,154,4,4,2,2,0.26192745949766744,1.4335230325434987,1.7771105103562321
GAM_t48_Stirred_CGA,DESeq2_default,134,4,1,0,4,0.7131586523586401,0.921388892791888,1.8810940465952524
Schaedler_t24_Stirred_Quercetin,DESeq2_default,73,4,4,1,3,0.6633057308133714,0.9594650258097304,1.561182882503711
mBHI_t24_Stirred_Quercetin,DESeq2_default,103,4,3,2,2,0.41731816565409086,1.0631224406860627,1.9590479937897376
mBHI_t48_Stirred_Quercetin,DESeq2_default,102,4,2,3,1,0.5798425395686005,1.033924640660174,1.685790736294857
GAM_t0_Static_Quercetin,DESeq2_default,127,3,0,1,2,0.6796009688593934,0.860691233383077,2.325113366184615
GAM_t48_Static_Quercetin,DESeq2_default,130,3,2,0,3,0.24086705522514504,1.355369652422064,3.4258730191598277
Schaedler_t24_Static_Quercetin,DESeq2_default,70,3,1,2,1,0.7106777065858328,1.05623530831095,1.4132271255292528
mBHI_t0_Static_Quercetin,DESeq2_default,120,3,3,2,1,0.793594659138292,1.077887554473475,1.166972767512245
GAM_t24_Stirred_CGA,DESeq2_default,122,2,2,0,2,0.7836149487081393,1.013947322084728,1.183363956744349
Schaedler_t0_Static_Quercetin,DESeq2_default,117,2,2,2,0,0.7450992808753665,0.9928914703198406,1.3941917335544203
mBHI_t0_Stirred_Quercetin,DESeq2_default,81,2,2,0,2,0.7476236321947798,1.0593211145871488,1.2806046576566423
mBHI_t24_Static_CGA,DESeq2_default,99,2,2,1,1,0.6555536773016589,1.0058041314763255,1.47162848053698
mBHI_t48_Static_Quercetin,DESeq2_default,107,2,2,1,1,0.14643534665945265,1.2366932732567832,2.3260070431004203
mBHI_t48_Stirred_CGA,DESeq2_default,102,2,2,1,1,0.11551804274563118,1.5749356987334049,2.284940492191814
GAM_t0_Stirred_Quercetin,DESeq2_default,118,1,1,0,1,0.3222067158933544,1.1625283315451276,1.9594772613610754
Schaedler_t0_Stirred_CGA,DESeq2_default,79,1,1,0,1,0.23039615869156393,1.3478922220379266,1.7856383069188702
Schaedler_t48_Stirred_CGA,DESeq2_default,65,1,1,1,0,0.7366440963952505,1.059943762532161,1.2740650969860425
Schaedler_t48_Stirred_Quercetin,DESeq2_default,67,1,0,0,1,0.4868248851052331,1.0497893150749853,1.8197260935769375
mBHI_t48_Static_CGA,DESeq2_default,99,1,0,1,0,0.6092930551517359,1.025879638058215,1.3211815326983816
GAM_t48_Static_CGA,DESeq2_default,124,0,0,0,0,0.4873855798715221,1.1674090439619484,1.68554080741641
Schaedler_t0_Stirred_Quercetin,DESeq2_default,103,0,0,0,0,0.13282133290271445,1.3159226971858855,1.8508385874964122
Schaedler_t24_Static_CGA,DESeq2_default,72,0,0,0,0,0.6350112115079249,1.1159855556055522,1.5391555610102257
Schaedler_t24_Stirred_CGA,DESeq2_default,74,0,0,0,0,0.16079967402544693,1.4073024320378558,1.7908189048306757
Schaedler_t48_Static_Quercetin,DESeq2_default,51,0,0,0,0,0.2383766859343789,1.7045959626633245,2.5387048256749716
mBHI_t0_Static_CGA,DESeq2_default,115,0,0,0,0,0.6643807258572383,0.8775520716084926,1.950601488637554
mBHI_t0_Stirred_CGA,DESeq2_default,91,0,0,0,0,0.608446586765238,1.0077610070494711,2.1147462359128424
