comparison_id,medium,time,stirred,comparison,control,treatment,n_ctrl,n_case,n_total
mBHI_t0_Static_CGA,mBHI,0,Static,CGA,WaterControl,CGA,3,3,6
mBHI_t0_Static_Quercetin,mBHI,0,Static,Quercetin,DMSOControl,Quercetin,3,3,6
mBHI_t0_Stirred_CGA,mBHI,0,Stirred,CGA,WaterControl,CGA,3,3,6
mBHI_t0_Stirred_Quercetin,mBHI,0,Stirred,Quercetin,DMSOControl,Quercetin,3,3,6
mBHI_t24_Static_CGA,mBHI,24,Static,CGA,WaterControl,CGA,3,3,6
mBHI_t24_Static_Quercetin,mBHI,24,Static,Quercetin,DMSOControl,Quercetin,3,3,6
mBHI_t24_Stirred_CGA,mBHI,24,Stirred,CGA,WaterControl,CGA,3,3,6
mBHI_t24_Stirred_Quercetin,mBHI,24,Stirred,Quercetin,DMSOControl,Quercetin,3,3,6
mBHI_t48_Static_CGA,mBHI,48,Static,CGA,WaterControl,CGA,3,3,6
mBHI_t48_Static_Quercetin,mBHI,48,Static,Quercetin,DMSOControl,Quercetin,3,3,6
mBHI_t48_Stirred_CGA,mBHI,48,Stirred,CGA,WaterControl,CGA,3,3,6
mBHI_t48_Stirred_Quercetin,mBHI,48,Stirred,Quercetin,DMSOControl,Quercetin,3,3,6
GAM_t0_Static_CGA,GAM,0,Static,CGA,WaterControl,CGA,3,3,6
GAM_t0_Static_Quercetin,GAM,0,Static,Quercetin,DMSOControl,Quercetin,3,3,6
GAM_t0_Stirred_CGA,GAM,0,Stirred,CGA,WaterControl,CGA,3,3,6
GAM_t0_Stirred_Quercetin,GAM,0,Stirred,Quercetin,DMSOControl,Quercetin,3,3,6
GAM_t24_Static_CGA,GAM,24,Static,CGA,WaterControl,CGA,3,3,6
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,DMSOControl,Quercetin,3,3,6
GAM_t24_Stirred_CGA,GAM,24,Stirred,CGA,WaterControl,CGA,3,3,6
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,DMSOControl,Quercetin,3,3,6
GAM_t48_Static_CGA,GAM,48,Static,CGA,WaterControl,CGA,3,3,6
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,DMSOControl,Quercetin,3,3,6
GAM_t48_Stirred_CGA,GAM,48,Stirred,CGA,WaterControl,CGA,3,3,6
GAM_t48_Stirred_Quercetin,GAM,48,Stirred,Quercetin,DMSOControl,Quercetin,3,3,6
Schaedler_t0_Static_CGA,Schaedler,0,Static,CGA,WaterControl,CGA,3,3,6
Schaedler_t0_Static_Quercetin,Schaedler,0,Static,Quercetin,DMSOControl,Quercetin,3,3,6
Schaedler_t0_Stirred_CGA,Schaedler,0,Stirred,CGA,WaterControl,CGA,3,3,6
Schaedler_t0_Stirred_Quercetin,Schaedler,0,Stirred,Quercetin,DMSOControl,Quercetin,3,3,6
Schaedler_t24_Static_CGA,Schaedler,24,Static,CGA,WaterControl,CGA,3,3,6
Schaedler_t24_Static_Quercetin,Schaedler,24,Static,Quercetin,DMSOControl,Quercetin,3,3,6
Schaedler_t24_Stirred_CGA,Schaedler,24,Stirred,CGA,WaterControl,CGA,3,3,6
Schaedler_t24_Stirred_Quercetin,Schaedler,24,Stirred,Quercetin,DMSOControl,Quercetin,3,3,6
Schaedler_t48_Static_CGA,Schaedler,48,Static,CGA,WaterControl,CGA,3,3,6
Schaedler_t48_Static_Quercetin,Schaedler,48,Static,Quercetin,DMSOControl,Quercetin,3,3,6
Schaedler_t48_Stirred_CGA,Schaedler,48,Stirred,CGA,WaterControl,CGA,3,3,6
Schaedler_t48_Stirred_Quercetin,Schaedler,48,Stirred,Quercetin,DMSOControl,Quercetin,3,3,6
